metric,value
classification_f1_macro,0.076280
classification_f1_arrival,0.150459
classification_f1_departure,0.002101
regression_mae_delayed,14.282663
regression_rmse_delayed,16.979279
regression_mae_nondelayed,2.428998
regression_rmse_nondelayed,3.050362
regression_mae_overall,4.370962
regression_rmse_overall,7.416961
stage1_time_seconds,0.01
stage2_time_seconds,2.46
stage3_time_seconds,0.02
total_time_seconds,2.48
dp_enabled,1
epsilon_target,7.500000
epsilon_approx_final,6.621503
delta,0.000010000000
noise_multiplier,0.005959
max_grad_norm,1.000000
