metric,value
classification_f1_macro,0.181359
classification_f1_arrival,0.000000
classification_f1_departure,0.362718
regression_mae_delayed,12.969682
regression_rmse_delayed,15.541435
regression_mae_nondelayed,1.981120
regression_rmse_nondelayed,2.917512
regression_mae_overall,4.082110
regression_rmse_overall,7.284617
stage1_time_seconds,48.63
stage2_time_seconds,2.26
stage3_time_seconds,2.59
total_time_seconds,53.48
dp_enabled,1
epsilon_target,7.500000
epsilon_approx_final,7.446254
delta,0.000010000000
noise_multiplier,0.026465
max_grad_norm,1.000000
