metric,value
regression_mae_delayed,12.584527284533968
regression_rmse_delayed,14.855511211609075
regression_mae_nondelayed,0.7067950634503324
regression_rmse_nondelayed,1.300486004717692
regression_mae_overall,2.884461832338693
regression_rmse_overall,6.4685283903450115
num_delayed_samples,404599
num_nondelayed_samples,1802221
target_epsilon,15.0
final_epsilon,0.08551182346031823
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
train_time_seconds,18617.414036989212
train_time_minutes,310.2902339498202
train_samples,55218
val_samples,7871
test_samples,15763
