delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,722.2667119503021,4.481790920135179,1,0.3045803956951627,,,,0.7317858452511381,0.4215163478679531,,,,,0.3339634534417585,0.5749306580906799
1e-05,2,708.2958135604858,4.785157938637296,1,0.27757665536795195,,,,0.7213384671799984,0.43337958011008837,,,,,0.3322416445333971,0.626746752903187
1e-05,3,710.2049462795258,5.0128621201392525,1,0.26718066029709453,,,,0.7299596626328764,0.42699008920508635,,,,,0.3350706250664002,0.5916941550057909
1e-05,4,713.2096621990204,5.178141848218731,1,0.26382200584169135,,,,0.7395196186284752,0.4251902281631459,,,,,0.34120346506967036,0.5659902060227981
1e-05,5,713.9786953926086,5.3341478646449,1,0.2663184540533473,,,,0.7115914924825293,0.44034402490596464,,,,,0.3294687481405267,0.6671939378109001
1e-05,6,714.8753023147583,5.484972720688984,1,0.26210083775927434,,,,0.7438100476713791,0.43121884594000875,,,,,0.34730277177237023,0.5705023697387928
1e-05,7,779.3285009860992,5.598852927463332,1,0.26185369720397966,,,,0.7784745141180214,0.3805056027354087,,,,,0.3663741382663477,0.4029289513216623
1e-05,8,757.4668095111847,5.71273313423768,1,0.26222221043444544,,,,0.7250385038503318,0.4359822376833279,,,,,0.3353467671751158,0.6232934012244011
1e-05,9,730.1027910709381,5.826613341012028,1,0.2583692564833358,,,,0.7715988265492649,0.39946706042487584,,,,,0.3627460928459622,0.4467609302888203
1e-05,10,727.8435213565826,5.940493547786376,1,0.2554780566249012,,,,0.7297909790978562,0.43445895787531036,,,,,0.3378038982290127,0.6088344121192379
1e-05,1,173.75956869125366,6.042017396490031,2,0.18579312548104904,0.2330043027344928,,,,,0.16157607126217222,0.17103043637697102,,,,
1e-05,2,176.70244693756104,6.129818656868563,2,0.1827567126557243,0.2331217052367546,,,,,0.15280294151415158,0.17103043637697102,,,,
1e-05,3,164.6542148590088,6.217619917247095,2,0.18042014855856706,0.2326477747630877,,,,,0.15252313544040225,0.17103043637697102,,,,
1e-05,4,166.29428362846375,6.305421177625627,2,0.17940934073310064,0.23401778198214718,,,,,0.15430505528606867,0.17103043637697102,,,,
1e-05,5,170.2908627986908,6.39322243800416,2,0.17959697595821067,0.23328633080338917,,,,,0.15555420663979813,0.17103043637697102,,,,
1e-05,6,190.77266383171082,6.481023698382692,2,0.17907074613631233,0.23298493621335142,,,,,0.1546546175871608,0.17103043637697102,,,,
1e-05,7,655.5587167739868,6.5688249587612235,2,0.17832608162558292,0.23316977449294501,,,,,0.1549706443557176,0.17103043637697102,,,,
1e-05,8,195.95057320594788,6.656626185588487,2,0.1785785368452769,0.23320152758768445,,,,,0.1532409188453821,0.17103043637697102,,,,
1e-05,1,181.60708785057068,6.727426186834551,3,0.06891993696669027,,1083779.0,0.5640393242638411,,,9.476219643962763,,155724.0,0.5710451045104511,,
1e-05,2,188.33675384521484,6.798226188080615,3,0.016248884304570367,,1085670.0,0.5648394504720392,,,7.243937396198008,,155724.0,0.5710451045104511,,
1e-05,3,185.2607605457306,6.8690261893266795,3,0.012368463031623351,,1083061.0,0.5640237678623505,,,6.403447172040116,,155724.0,0.5710451045104511,,
1e-05,4,183.5617904663086,6.939826190572743,3,0.010723898621098248,,1084183.0,0.5643899838728317,,,6.001622085317997,,155724.0,0.5710451045104511,,
1e-05,5,189.6475043296814,7.010626191818807,3,0.009859867956649717,,1087262.0,0.5649440803762754,,,5.783040507789177,,155724.0,0.5710451045104511,,
1e-05,6,185.81201815605164,7.081426193064871,3,0.009272784806012816,,1082240.0,0.5639145541060758,,,5.65250151388445,,155724.0,0.5710451045104511,,
1e-05,7,191.62186241149902,7.152226194310935,3,0.008962585332872204,,1082641.0,0.5632864171220932,,,5.573808477335307,,155724.0,0.5710451045104511,,
1e-05,8,183.3234622478485,7.223026195557,3,0.00870251630902041,,1084707.0,0.5643495896044219,,,5.490691774739669,,155724.0,0.5710451045104511,,
1e-05,9,180.78039813041687,7.293826196803064,3,0.00855719036340363,,1084368.0,0.5639742740255241,,,5.40579670592164,,155724.0,0.5710451045104511,,
1e-05,10,189.63088846206665,7.364626198049128,3,0.00843662488960416,,1082393.0,0.5639037773044975,,,5.417303763784286,,155724.0,0.5710451045104511,,
1e-05,11,190.4226894378662,7.435426199295192,3,0.008275632550247198,,1083026.0,0.5639092185228537,,,5.383593326333148,,155724.0,0.5710451045104511,,
1e-05,12,184.84273552894592,7.499784931809295,3,0.00822789168663887,,1083036.0,0.5638492495275381,,,5.362196624425797,,155724.0,0.5710451045104511,,
