delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,411.0150806903839,1.6345520726381322,1,0.32350262173038585,,,,0.7348404840483509,0.41104814237819365,,,,,0.3316009956038988,0.5444947286443389
1e-05,2,400.97550916671753,1.6740598501044441,1,0.30169964468509347,,,,0.7314191419141378,0.4201501768135444,,,,,0.3330402730473252,0.5724011854848248
1e-05,3,400.0126485824585,1.7019071199798648,1,0.2889843915234849,,,,0.7018921892188703,0.4327519263121844,,,,,0.3205728281398248,0.6683353844386415
1e-05,4,397.93794655799866,1.721878083306489,1,0.27669374810413055,,,,0.718782544921106,0.4287551242379726,,,,,0.32869911742679436,0.6210339581247347
1e-05,5,400.11364102363586,1.7393141643442498,1,0.27455159784618677,,,,0.7430766409973786,0.41897819580440887,,,,,0.34126741910522645,0.5426957222115789
1e-05,6,400.0054883956909,1.7567502453820107,1,0.27440795809491353,,,,0.767356068940171,0.3922467948484565,,,,,0.35397395185061087,0.4402282304745855
1e-05,7,400.6643490791321,1.7717416069215652,1,0.26714778276792495,,,,0.729633296662946,0.4263311842967475,,,,,0.3346060289983114,0.5910225163707459
1e-05,8,400.3342561721802,1.783810608259038,1,0.2616400738988867,,,,0.7312981298129275,0.4254163231884911,,,,,0.33538896162586307,0.582402439474726
1e-05,1,136.64590525627136,1.7958796095965108,2,0.19682857090415112,0.2332853874767643,,,,,0.1581286273786845,0.17103043637697102,,,,
1e-05,2,135.8964548110962,1.8079486109339835,2,0.1882106110789289,0.23298646711178908,,,,,0.15539892486036244,0.17103043637697102,,,,
1e-05,3,143.38569593429565,1.8200176122714564,2,0.18453123813762692,0.23310689764356898,,,,,0.15643145016485854,0.17103043637697102,,,,
1e-05,4,142.57451105117798,1.8320866136089293,2,0.18501604461838358,0.2329897078836862,,,,,0.1598545952438417,0.17103043637697102,,,,
1e-05,5,144.69956469535828,1.8434991535651053,2,0.1847221486496865,0.23310467995291634,,,,,0.1684197859883817,0.17103043637697102,,,,
1e-05,6,128.3954131603241,1.8527051108770343,2,0.18632176405618872,0.23344700791275128,,,,,0.15401408447673998,0.17103043637697102,,,,
1e-05,7,120.2611951828003,1.8619110681889637,2,0.18591856495860862,0.23322756308687892,,,,,0.1656664218351095,0.17103043637697102,,,,
1e-05,8,120.78867292404175,1.8711170255008926,2,0.18522011905300778,0.23381627668546812,,,,,0.15960878992506075,0.17103043637697102,,,,
1e-05,1,123.91010022163391,1.8803229828128216,3,0.06930212706965037,,1085150.0,0.5645007745856825,,,9.849506528695127,,155724.0,0.5710451045104511,,
1e-05,2,124.64938616752625,1.889528940124751,3,0.022277698740020484,,1083996.0,0.5639509173600756,,,7.198107003382849,,155724.0,0.5710451045104511,,
1e-05,3,119.93671250343323,1.89873489743668,3,0.016478872858112024,,1082681.0,0.5637119733753752,,,6.458545990665679,,155724.0,0.5710451045104511,,
1e-05,4,121.90062475204468,1.907940854748609,3,0.013818918708344398,,1082374.0,0.5635521298242033,,,6.18614331706939,,155724.0,0.5710451045104511,,
1e-05,5,132.44040155410767,1.917146812060538,3,0.01218334512096827,,1084354.0,0.5649207076916665,,,5.965867870394665,,155724.0,0.5710451045104511,,
1e-05,6,132.3803346157074,1.9263527693724674,3,0.011287140074311164,,1082659.0,0.5643446015400044,,,5.884007984237644,,155724.0,0.5710451045104511,,
1e-05,7,127.2293872833252,1.9355587266843963,3,0.010685914620581813,,1083570.0,0.5641384207851925,,,5.820387773872763,,155724.0,0.5710451045104511,,
1e-05,8,121.64051079750061,1.944724685141901,3,0.010199317664292351,,1083515.0,0.5642067212310627,,,5.7694464098962674,,155724.0,0.5710451045104511,,
1e-05,9,120.64072036743164,1.9523418952580436,3,0.009930869915894569,,1085780.0,0.5646346448061288,,,5.664803281803851,,155724.0,0.5710451045104511,,
1e-05,10,120.63054084777832,1.959959105374186,3,0.009710127124845907,,1084309.0,0.5648001625160823,,,5.688307114658391,,155724.0,0.5710451045104511,,
1e-05,11,121.0408844947815,1.9675763154903285,3,0.009564990199475654,,1084350.0,0.5641597409448811,,,5.656850574471713,,155724.0,0.5710451045104511,,
1e-05,12,120.74972486495972,1.975193525606471,3,0.009356949733502188,,1085992.0,0.5642677662521745,,,5.675589657068867,,155724.0,0.5710451045104511,,
