metric,value
classification_precision,0.4382708864409971
classification_recall,0.7006433255669888
classification_f1,0.5387791355578551
classification_accuracy,0.710555352575787
classification_precision_arrival,0.4404021062709025
classification_recall_arrival,0.662172823784979
classification_f1_arrival,0.5289841002471464
classification_accuracy_arrival,0.6887285348921925
classification_precision_departure,0.43613966661109177
classification_recall_departure,0.7391138273489988
classification_f1_departure,0.5485741708685636
classification_accuracy_departure,0.7323821702593813
regression_mae_delayed,8.569437857307973
regression_rmse_delayed,11.049880716762635
regression_mae_nondelayed,4.66437354526992
regression_rmse_nondelayed,6.229581678820534
regression_mae_overall,5.609329197145828
regression_rmse_overall,7.678730579433348
regression_mae_delayed_arrival,8.62390340313672
regression_rmse_delayed_arrival,11.128992349851016
num_delayed_samples_arrival,72247
regression_mae_delayed_departure,8.50408806673618
regression_rmse_delayed_departure,10.954205638927743
num_delayed_samples_departure,60214
regression_mae_nondelayed_arrival,4.99249821450898
regression_rmse_nondelayed_arrival,6.344943863742507
num_nondelayed_samples_arrival,201453
regression_mae_nondelayed_departure,4.354743410309241
regression_rmse_nondelayed_departure,6.118727537267929
num_nondelayed_samples_departure,213486
regression_mae_overall_arrival,5.9510591595684925
regression_rmse_overall_arrival,7.894599746454392
regression_mae_overall_departure,5.267599234723169
regression_rmse_overall_departure,7.456614611627173
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,2.0
final_epsilon,1.975193525606471
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,3211.2627301216125
stage2_time_seconds,1072.842792749405
stage3_time_seconds,1487.4336557388306
total_training_time_seconds,5771.539178609848
total_training_time_minutes,96.19231964349747
train_samples,19207
val_samples,2727
test_samples,5474
