metric,value
classification_precision,0.44614144788959964
classification_recall,0.6843380456746466
classification_f1,0.539726228951133
classification_accuracy,0.7182827913773943
classification_precision_arrival,0.4481422667788658
classification_recall_arrival,0.6484283084417833
classification_f1_arrival,0.5299943950807599
classification_accuracy_arrival,0.6964230909754952
classification_precision_departure,0.44414062900033346
classification_recall_departure,0.7202477829075099
classification_f1_departure,0.5494580628215061
classification_accuracy_departure,0.7401424917792934
regression_mae_delayed,8.690424689829142
regression_rmse_delayed,11.185567835772405
regression_mae_nondelayed,4.380265153122185
regression_rmse_nondelayed,6.039927194313879
regression_mae_overall,5.423246597023795
regression_rmse_overall,7.611116596189194
regression_mae_delayed_arrival,8.721384927571043
regression_rmse_delayed_arrival,11.224037496060813
num_delayed_samples_arrival,72247
regression_mae_delayed_departure,8.653277443405734
regression_rmse_delayed_departure,11.139235172626437
num_delayed_samples_departure,60214
regression_mae_nondelayed_arrival,4.774596351386826
regression_rmse_nondelayed_arrival,6.233018042569725
num_nondelayed_samples_arrival,201453
regression_mae_nondelayed_departure,4.008160177226778
regression_rmse_nondelayed_departure,5.851879952236112
num_nondelayed_samples_departure,213486
regression_mae_overall_arrival,5.816407218261436
regression_rmse_overall_arrival,7.864433814963245
regression_mae_overall_departure,5.030085975786149
regression_rmse_overall_departure,7.349072897422899
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,7.5
final_epsilon,7.499784931809295
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,3886.3742203712463
stage2_time_seconds,991.8960464000702
stage3_time_seconds,1460.3876070976257
total_training_time_seconds,6338.657873868942
total_training_time_minutes,105.6442978978157
train_samples,19207
val_samples,2727
test_samples,5474
