delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,389.66917514801025,7.251095823961186,1,0.3075165722973027,,,,0.7699559955995035,0.36567278622129973,,,,,0.308647603000708,0.45239370991846334
1e-05,2,463.49770164489746,7.9774703645112925,1,0.28319899192995085,,,,0.7146351301796322,0.3953069340508264,,,,,0.28772463990220576,0.6362266999505524
1e-05,3,425.24086809158325,8.492261916921256,1,0.27474557433373703,,,,0.7337623762375699,0.38741965699938496,,,,,0.29387330102277653,0.5750344433988945
1e-05,4,396.6112060546875,8.969953597182968,1,0.2720902815731294,,,,0.780315364869763,0.36718292552556353,,,,,0.3193030252999298,0.4340820320092502
1e-05,5,394.0911235809326,9.34913245622026,1,0.2679280170684686,,,,0.784646131279737,0.36173795238542444,,,,,0.32090288161054714,0.41448362858325116
1e-05,6,396.3670926094055,9.689988481921661,1,0.26568227601556643,,,,0.743659699303209,0.38772541550152406,,,,,0.29907661343473224,0.5520354919758143
1e-05,7,394.0336546897888,10.030844507623062,1,0.26875439464005113,,,,0.7817161716171044,0.367725468186354,,,,,0.3206889005790451,0.43154503658625387
1e-05,1,139.60128617286682,10.371700533324464,2,0.1633048474260312,0.20822348719604605,,,,,0.13562079713699998,0.14758342500916757,,,,
1e-05,2,138.5116274356842,10.635795199895258,2,0.15916722806945732,0.20849228201398123,,,,,0.14131754495043167,0.14758342500916757,,,,
1e-05,3,140.40089631080627,10.891892338742732,2,0.15806420870031937,0.2092375158703189,,,,,0.1362413611427408,0.14758342500916757,,,,
1e-05,4,139.2217617034912,11.147989477590208,2,0.1583581362162962,0.20910513591013874,,,,,0.1333724507894709,0.14758342500916757,,,,
1e-05,5,138.87226009368896,11.404086616437683,2,0.1585155236275315,0.20880258906409618,,,,,0.14333758199653146,0.14758342500916757,,,,
1e-05,6,139.9816484451294,11.660183755285159,2,0.15813110104876973,0.20790912298119582,,,,,0.13367893350318152,0.14758342500916757,,,,
1e-05,7,139.06117844581604,11.916280894132633,2,0.1584588811993281,0.2090340370853225,,,,,0.13830556194887145,0.14758342500916757,,,,
1e-05,8,138.78410053253174,12.15432860696511,2,0.15827920427384518,0.20880682999442823,,,,,0.13909209079683865,0.14758342500916757,,,,
1e-05,1,127.55810141563416,12.354938499621978,3,0.06685076127912809,,1181169.0,0.6146550046365729,,,12.348347545620648,,171183.0,0.6277337733773377,,
1e-05,2,119.81890177726746,12.555548392278846,3,0.02427282934311715,,1183099.0,0.6160947133811031,,,11.110623206083591,,171183.0,0.6277337733773377,,
1e-05,3,120.72015500068665,12.756158284935715,3,0.020338313419061983,,1183544.0,0.615537919054702,,,10.641662172120462,,171183.0,0.6277337733773377,,
1e-05,4,119.93205118179321,12.956768177592583,3,0.018541404206138895,,1184620.0,0.6157663890584016,,,10.35348531663921,,171183.0,0.6277337733773377,,
1e-05,5,119.2242705821991,13.157378070249452,3,0.017593820850106398,,1181457.0,0.6157552566513369,,,10.214913273003043,,171183.0,0.6277337733773377,,
1e-05,6,120.47018241882324,13.35798796290632,3,0.016952073000797516,,1184206.0,0.6162283394910756,,,10.04092398744363,,171183.0,0.6277337733773377,,
1e-05,7,119.99973917007446,13.558597855563187,3,0.016535911377049115,,1184636.0,0.6163796108695132,,,9.88903291783458,,171183.0,0.6277337733773377,,
1e-05,8,120.53445959091187,13.759207748220057,3,0.016172867343802987,,1182456.0,0.6161160060649955,,,9.825431446350873,,171183.0,0.6277337733773377,,
1e-05,9,120.334223985672,13.959817640876926,3,0.015949794563835513,,1181950.0,0.6155675387402101,,,9.79831266003411,,171183.0,0.6277337733773377,,
1e-05,10,120.77265882492065,14.160427533533793,3,0.015838564316819338,,1183464.0,0.6160916476566982,,,9.710478925514847,,171183.0,0.6277337733773377,,
1e-05,11,121.09225845336914,14.348364662563977,3,0.015723816140238777,,1183732.0,0.6165328633289271,,,9.68779042244349,,171183.0,0.6277337733773377,,
1e-05,12,120.73878240585327,14.510739030206809,3,0.015624135195172606,,1183845.0,0.6152765520875886,,,9.643335625256707,,171183.0,0.6277337733773377,,
