metric,value
classification_precision,0.40541733669096547
classification_recall,0.6711173046752488
classification_f1,0.5047025717978322
classification_accuracy,0.7177219583485306
classification_precision_arrival,0.41144044914049793
classification_recall_arrival,0.6268531598800586
classification_f1_arrival,0.496801176317516
classification_accuracy_arrival,0.7011326269638034
classification_precision_departure,0.39939422424143306
classification_recall_departure,0.715381449470439
classification_f1_departure,0.5126039672781483
classification_accuracy_departure,0.7343112897332578
regression_mae_delayed,8.79428863346312
regression_rmse_delayed,11.203276714757392
regression_mae_nondelayed,5.056391327920131
regression_rmse_nondelayed,6.763426754608168
regression_mae_overall,5.848321616576231
regression_rmse_overall,7.914816116764839
regression_mae_delayed_arrival,8.976631812348359
regression_rmse_delayed_arrival,11.418256584520744
num_delayed_samples_arrival,63398
regression_mae_delayed_departure,8.574416962295764
regression_rmse_delayed_departure,10.938433761764914
num_delayed_samples_departure,52577
regression_mae_nondelayed_arrival,5.2498290846611955
regression_rmse_nondelayed_arrival,6.729380071188662
num_nondelayed_samples_arrival,210302
regression_mae_nondelayed_departure,4.872419750480609
regression_rmse_nondelayed_departure,6.795649052726776
num_nondelayed_samples_departure,221123
regression_mae_overall_arrival,6.113080233108074
regression_rmse_overall_arrival,8.06192859004995
regression_mae_overall_departure,5.583563000044386
regression_rmse_overall_departure,7.764916981741407
num_delayed_samples,115975
num_nondelayed_samples,431425
target_epsilon,15.0
final_epsilon,14.510739030206809
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,2859.844834089279
stage2_time_seconds,1114.8440792560577
stage3_time_seconds,1451.7622294425964
total_training_time_seconds,5426.451142787933
total_training_time_minutes,90.44085237979888
train_samples,19207
val_samples,2727
test_samples,5474
