delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
0.0,1,145.2162208557129,inf,1,0.19902026494102942,,,,0.7283290393816173,0.4632057181160451,,,,,0.35018643901758395,0.6864539910931022
0.0,2,135.3916392326355,inf,1,0.19656111318076505,,,,0.7025174825174307,0.4639815592346911,,,,,0.3361089518627642,0.7549558863535908
0.0,3,134.78764486312866,inf,1,0.19598633750665026,,,,0.6966139124033348,0.46215113666965396,,,,,0.3320489207798813,0.7637320983281973
0.0,4,132.94082045555115,inf,1,0.19590929347527888,,,,0.6786124401913376,0.46027488143674006,,,,,0.32298531042488343,0.8016817803376283
0.0,5,132.37997555732727,inf,1,0.1958615109940534,,,,0.6917335296282154,0.4559750670392839,,,,,0.3272539440355,0.7574075740866619
0.0,6,123.27868247032166,inf,1,0.1957903277833451,,,,0.7466028708133421,0.4597295172774732,,,,,0.36240850179116657,0.6316025741992257
0.0,7,123.14940166473389,inf,1,0.1956432971613475,,,,0.6631652557967859,0.4536867667464066,,,,,0.3148281996934111,0.8196866836721732
0.0,1,80.6203966140747,inf,2,0.1697447659797066,0.23328929381168312,,,,,0.13954772160259946,0.17161943319838058,,,,
0.0,2,81.47893214225769,inf,2,0.16788942431427378,0.23328408408909043,,,,,0.14287218214701175,0.17161943319838058,,,,
0.0,3,80.87374925613403,inf,2,0.16767340006093623,0.23328773089490532,,,,,0.14183622050213518,0.17161943319838058,,,,
0.0,4,81.04171872138977,inf,2,0.1675676433600547,0.23329085672846092,,,,,0.14068525655660122,0.17161943319838058,,,,
0.0,5,81.90319323539734,inf,2,0.16762131414005807,0.23327887436649775,,,,,0.14358591444962684,0.17161943319838058,,,,
0.0,6,82.73993802070618,inf,2,0.1675113516788414,0.23328147922779408,,,,,0.14200167848058057,0.17161943319838058,,,,
0.0,1,82.05209350585938,inf,3,0.10806804556408527,,1479068.0,0.770553397572686,,,36.08597809805933,,226072.0,0.8320647773279353,,
0.0,2,84.5424656867981,inf,3,0.07772952678200244,,1479068.0,0.770553397572686,,,35.44682918430048,,226072.0,0.8320647773279353,,
0.0,3,84.18743753433228,inf,3,0.07635951683692342,,1479077.0,0.7705580863230195,,,35.223216073156074,,226072.0,0.8320647773279353,,
0.0,4,84.39918851852417,inf,3,0.07579650730192741,,1479068.0,0.770553397572686,,,35.09404809949762,,226072.0,0.8320647773279353,,
0.0,5,84.57539463043213,inf,3,0.07548402873791753,,1479083.0,0.7705612121565751,,,34.93199755523614,,226072.0,0.8320647773279353,,
0.0,6,84.14610981941223,inf,3,0.07527268581662727,,1479063.0,0.7705507927113897,,,34.89530496139311,,226072.0,0.8320647773279353,,
0.0,7,84.89856672286987,inf,3,0.07512332918408092,,1479079.0,0.770559128267538,,,34.84995212586923,,226072.0,0.8320647773279353,,
0.0,8,84.99950003623962,inf,3,0.07500912129946567,,1479066.0,0.7705523556281675,,,34.89016459688629,,226072.0,0.8320647773279353,,
0.0,9,89.51573705673218,inf,3,0.07496580072681358,,1479069.0,0.7705539185449454,,,34.79267032767195,,226072.0,0.8320647773279353,,
0.0,10,91.59611701965332,inf,3,0.0749047860790369,,1479070.0,0.7705544395172046,,,34.76265736752086,,226072.0,0.8320647773279353,,
0.0,11,92.07747006416321,inf,3,0.07485934297131137,,1479082.0,0.7705606911843158,,,34.75247101213523,,226072.0,0.8320647773279353,,
0.0,12,91.5870246887207,inf,3,0.07483847163842182,,1479069.0,0.7705539185449454,,,34.72178592222783,,226072.0,0.8320647773279353,,
0.0,13,90.69861888885498,inf,3,0.07479942411285666,,1479066.0,0.7705523556281675,,,34.75866966909271,,226072.0,0.8320647773279353,,
0.0,14,90.98789691925049,inf,3,0.07475305910210557,,1479072.0,0.7705554814617231,,,34.77915246259919,,226072.0,0.8320647773279353,,
