delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,425.94826889038086,4.393348104096843,1,0.26836644175267915,,,,0.6891571586307921,0.4478984425422451,,,,,0.3219897899515223,0.7384030921484117
1e-05,2,401.8931040763855,4.682306495143991,1,0.23967489971816303,,,,0.7294037541405425,0.4586517973086179,,,,,0.3487456804060085,0.6697110366959637
1e-05,3,334.06887555122375,4.879273233490457,1,0.23870112329808893,,,,0.7856201693043219,0.4303835408852541,,,,,0.39492953848750856,0.472854878071028
1e-05,4,352.60199666023254,5.06244778610948,1,0.24448415854830016,,,,0.7839860139859562,0.43117915080773594,,,,,0.3930553023991038,0.4793141263900413
1e-05,5,717.1443383693695,5.198904782542684,1,0.24204185462754768,,,,0.7967537725431875,0.418525076866189,,,,,0.4104461081134375,0.4277429932636104
1e-05,6,683.0211067199707,5.32786218254841,1,0.2450495391277257,,,,0.7988774383510637,0.4140012051956514,,,,,0.4148068589441266,0.4154315220791467
1e-05,7,716.4348652362823,5.456819582554136,1,0.241841273024086,,,,0.8044608023554799,0.40367978241205127,,,,,0.424941101038555,0.3880606872030924
1e-05,1,170.51125502586365,5.573218108986422,2,0.18067560460399584,0.23384496929558243,,,,,0.1573665338360963,0.17161943319838058,,,,
1e-05,2,170.91549491882324,5.669658937604363,2,0.17922777924403474,0.2327067183597111,,,,,0.16057103165325498,0.17161943319838058,,,,
1e-05,3,175.7101743221283,5.766099766222304,2,0.17563166700762634,0.23321879461702721,,,,,0.15687084597609807,0.17161943319838058,,,,
1e-05,4,148.3453471660614,5.862540594840245,2,0.1751741841286381,0.2332237671722551,,,,,0.15382104877969385,0.17161943319838058,,,,
1e-05,5,144.7098844051361,5.9589814234581855,2,0.17418585597642042,0.2331536233815174,,,,,0.15552751830749076,0.17161943319838058,,,,
1e-05,6,144.79120445251465,6.055422252076126,2,0.17374002406059122,0.23353007257731187,,,,,0.15530520646192214,0.17161943319838058,,,,
1e-05,7,144.44639325141907,6.13880017483343,2,0.17382554548836512,0.23267562230264235,,,,,0.149271563431639,0.17161943319838058,,,,
1e-05,8,146.47739791870117,6.214699935012519,2,0.17322169866727874,0.23316672546332284,,,,,0.1700751592444521,0.17161943319838058,,,,
1e-05,9,106.3396942615509,6.2905996951916086,2,0.17346083139715018,0.23375108857341673,,,,,0.15060968021801233,0.17161943319838058,,,,
1e-05,10,103.17113471031189,6.366499455370698,2,0.17315112347681066,0.23257188341752158,,,,,0.1606175263081953,0.17161943319838058,,,,
1e-05,1,102.59178137779236,6.442399215549788,3,0.15845241938178842,,1479414.0,0.7705522047563986,,,44.38815037678864,,226072.0,0.8320647773279353,,
1e-05,2,102.98574090003967,6.518298975728877,3,0.09796341393758023,,1478137.0,0.7705782137379589,,,41.57515801772784,,226072.0,0.8320647773279353,,
1e-05,3,103.46031379699707,6.594198735907967,3,0.09328667677702443,,1480556.0,0.7709879937677573,,,40.58810315361131,,226072.0,0.8320647773279353,,
1e-05,4,102.60756993293762,6.670098496087056,3,0.09074938294588804,,1479474.0,0.7703948635968361,,,40.06985065559883,,226072.0,0.8320647773279353,,
1e-05,5,103.08852791786194,6.745998256266145,3,0.08949633816067824,,1479821.0,0.7703637493766067,,,39.65471357522487,,226072.0,0.8320647773279353,,
1e-05,6,102.61700367927551,6.813805067472571,3,0.08884755474664062,,1479215.0,0.770654069858312,,,39.45865429525321,,226072.0,0.8320647773279353,,
1e-05,7,102.73425006866455,6.876047628529668,3,0.0878221041098869,,1479319.0,0.7713592810124893,,,39.51457211392074,,226072.0,0.8320647773279353,,
1e-05,8,102.52054572105408,6.938290189586765,3,0.08758426277341048,,1477653.0,0.7706939230230814,,,39.3330054900516,,226072.0,0.8320647773279353,,
1e-05,9,102.59234285354614,7.000532750643863,3,0.08723297618601793,,1479173.0,0.77050052194133,,,39.33294003360015,,226072.0,0.8320647773279353,,
1e-05,10,102.71477222442627,7.06277531170096,3,0.08687468992770275,,1478522.0,0.770098837863402,,,39.29419247735916,,226072.0,0.8320647773279353,,
1e-05,11,102.6404504776001,7.1250178727580575,3,0.08678477356410577,,1480214.0,0.770618884096934,,,39.15375626356588,,226072.0,0.8320647773279353,,
1e-05,12,102.67481803894043,7.187260433815155,3,0.08637072011941702,,1480675.0,0.7707160435734928,,,39.156205315374386,,226072.0,0.8320647773279353,,
1e-05,13,102.69422650337219,7.249502994872252,3,0.08611484619876518,,1478041.0,0.7699309165049232,,,39.148208723005375,,226072.0,0.8320647773279353,,
1e-05,14,103.34989213943481,7.31174555592935,3,0.08601489696114119,,1482828.0,0.771022016453844,,,39.162834815835325,,226072.0,0.8320647773279353,,
