delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
0.0,1,142.37885880470276,inf,1,0.2035620460655887,,,,0.7245344129554121,0.45991536738585215,,,,,0.3485244491377359,0.689093026300146
0.0,2,141.53399968147278,inf,1,0.20073283102813483,,,,0.6194331983805211,0.44206499266381694,,,,,0.29548188412374854,0.882960994249398
0.0,3,142.59398984909058,inf,1,0.20045850100827936,,,,0.6279205005520332,0.44581181705037365,,,,,0.2995169262362323,0.8765336677225042
0.0,4,141.30927538871765,inf,1,0.19979144162807697,,,,0.6945969819653518,0.46373713813623624,,,,,0.33148181681591954,0.7727729103547629
0.0,5,134.4457242488861,inf,1,0.19981880932966847,,,,0.6992013249907472,0.46318054730378055,,,,,0.3336443772503998,0.760073069298904
0.0,6,134.52364945411682,inf,1,0.1995112492215255,,,,0.6328892160470642,0.4462829194591248,,,,,0.3016563688007727,0.8664752859251912
0.0,7,139.27510285377502,inf,1,0.19963389033514775,,,,0.7290136179609327,0.4643954708292489,,,,,0.35081705959016785,0.687180684911874
0.0,8,139.69100713729858,inf,1,0.1997478837472784,,,,0.697677585572271,0.4640342982599906,,,,,0.3333886363450546,0.76672314263413
0.0,9,139.00864148139954,inf,1,0.19953763301919766,,,,0.7418218623481234,0.45625754023661813,,,,,0.36390148052667004,0.6409817919976881
0.0,10,140.75711011886597,inf,1,0.19952421056473849,,,,0.7069304379830175,0.46541433873702454,,,,,0.33859648524095115,0.7473038717315525
0.0,1,93.37406492233276,inf,2,0.17498882119458145,0.23328200020005335,,,,,0.14750269247912795,0.17161943319838058,,,,
0.0,2,93.0281822681427,inf,2,0.17291835127917568,0.23328356311683116,,,,,0.1454627940491747,0.17161943319838058,,,,
0.0,3,92.87205815315247,inf,2,0.1729398919420978,0.2332861679781275,,,,,0.14858660352375339,0.17161943319838058,,,,
0.0,4,93.67399644851685,inf,2,0.17290449485472917,0.23328304214457188,,,,,0.14702494579212558,0.17161943319838058,,,,
0.0,5,93.45745420455933,inf,2,0.1728993979351986,0.23328512603360896,,,,,0.14535130511148786,0.17161943319838058,,,,
0.0,6,92.926429271698,inf,2,0.17279336180077867,0.23328252117231263,,,,,0.14687472996381457,0.17161943319838058,,,,
0.0,7,94.58062863349915,inf,2,0.17278813535760454,0.23328147922779408,,,,,0.14711917498465887,0.17161943319838058,,,,
0.0,8,98.70849847793579,inf,2,0.1727877387160395,0.2332809582555348,,,,,0.14882516978725838,0.17161943319838058,,,,
0.0,9,99.33985471725464,inf,2,0.17274436766913204,0.23328252117231263,,,,,0.14959560085157542,0.17161943319838058,,,,
0.0,10,98.24546694755554,inf,2,0.17284599982776397,0.2332898147839424,,,,,0.14294413239597023,0.17161943319838058,,,,
0.0,1,184.89053106307983,inf,3,0.007165054965779935,,1082673.0,0.5640425988596959,,,4.849326682567295,,154789.0,0.5697055576002944,,
0.0,2,142.05604076385498,inf,3,0.006871547358400949,,1082667.0,0.5640394730261403,,,4.789028484364638,,154789.0,0.5697055576002944,,
0.0,3,120.65969920158386,inf,3,nan,,1082663.0,0.5640373891371032,,,nan,,154789.0,0.5697055576002944,,
0.0,4,120.54927349090576,inf,3,nan,,1082677.0,0.564044682748733,,,nan,,154789.0,0.5697055576002944,,
0.0,5,120.35360074043274,inf,3,nan,,1082663.0,0.5640373891371032,,,nan,,154789.0,0.5697055576002944,,
0.0,6,121.70828771591187,inf,3,nan,,1082672.0,0.5640420778874367,,,nan,,154789.0,0.5697055576002944,,
0.0,7,119.51167440414429,inf,3,nan,,1082664.0,0.5640379101093626,,,nan,,154789.0,0.5697055576002944,,
