delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,362.45885586738586,6.130982482721056,1,0.3486564468927905,,,,0.7957617115454965,0.4172275424732976,,,,,0.4084989839239024,0.4265013867055173
1e-05,2,360.1246428489685,6.677044763890007,1,0.3629762539531963,,,,0.8086167465879152,0.40531744401895575,,,,,0.4348332315744667,0.38142199464121496
1e-05,3,361.4583053588867,7.084396520622653,1,0.37416259202263685,,,,0.8248137218737863,0.3286595784645612,,,,,0.4803951407768299,0.25021067462310337
1e-05,4,362.6213059425354,7.408236711936023,1,0.37730489405415074,,,,0.8089450387310357,0.3860993408050001,,,,,0.4312279192752881,0.3514230251097138
1e-05,5,360.87367367744446,7.724564604334409,1,0.3742992492478398,,,,0.8198819623754466,0.35719535435521577,,,,,0.4608900558078143,0.29177013807171476
1e-05,6,360.1332199573517,7.958758018875013,1,0.3737006566837042,,,,0.82014385835479,0.3584901314462601,,,,,0.46149216153499856,0.29307774256937225
1e-05,7,360.3213469982147,8.192951433415617,1,0.3771430340645868,,,,0.7967023238656734,0.4118772670592418,,,,,0.4080344265841396,0.4157951947413262
1e-05,8,361.16868782043457,8.427144847956221,1,0.3854250648027265,,,,0.813585392843909,0.38826178169790804,,,,,0.44387993030436185,0.3450370511725237
1e-05,9,361.06878876686096,8.661338262496825,1,0.36897427413843725,,,,0.8227369974178662,0.35790463406752465,,,,,0.47300015148538066,0.28817059496410496
1e-05,10,360.81766057014465,8.841829390529222,1,0.3596167572523611,,,,0.8007709332349096,0.4146325581680074,,,,,0.41890804417951133,0.41285343535238395
1e-05,11,360.8903715610504,9.020093641968533,1,0.34764118473914724,,,,0.7676908889708027,0.4435998853813212,,,,,0.3770562496122244,0.5417912820612418
1e-05,12,360.8817641735077,9.198357893407842,1,0.33692060154903086,,,,0.8128919218000137,0.3968440521933183,,,,,0.44562261790009094,0.3607466139437249
1e-05,13,359.8684341907501,9.376622144847152,1,0.3460092666608004,,,,0.8067133898929688,0.41279936549300555,,,,,0.4310385641051947,0.39637924685526726
1e-05,14,360.69358086586,9.554886396286463,1,0.3439931316285073,,,,0.808808557727716,0.39969548781789654,,,,,0.4331599535632795,0.3716490055500541
1e-05,15,362.3191990852356,9.733150647725774,1,0.3481758357605352,,,,0.8242641091847418,0.32657884733771747,,,,,0.47818487845816793,0.2489921911451421
1e-05,16,362.56825256347656,9.908070227762039,1,0.3367960160417983,,,,0.8173293987457899,0.37779727728508716,,,,,0.4574458010414427,0.32564556221770785
1e-05,17,362.11714148521423,10.049521346515089,1,0.3524044832680685,,,,0.7995684249353892,0.41379297000936377,,,,,0.4173164574044397,0.41505459291005614
1e-05,18,362.4777343273163,10.190972465268139,1,0.34675597970568395,,,,0.8179454075986117,0.37072620054418876,,,,,0.455342552012041,0.31286986483090085
