metric,value
classification_precision,0.4495259810033331
classification_recall,0.5506895299861198
classification_f1,0.49448525849226077
classification_accuracy,0.728341249543269
regression_mae_delayed,9.251661752452735
regression_rmse_delayed,11.835412790123426
regression_mae_nondelayed,4.143688147170983
regression_rmse_nondelayed,5.710947127378544
regression_mae_overall,5.379726312551374
regression_rmse_overall,7.6562925945158415
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,15.0
final_epsilon,0.5407423655588994
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,6520.951400279999
stage2_time_seconds,836.7354197502136
stage3_time_seconds,1434.5150289535522
total_training_time_seconds,8792.201848983765
total_training_time_minutes,146.53669748306274
train_samples,19207
val_samples,2727
test_samples,5474
