delta,epoch,epoch_time_seconds,epsilon,model,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
0.0,1,148.49964141845703,inf,,1,0.19896938317328905,,,,0.6939234449760254,0.4605451271024267,,,,,0.3304049276713117,0.7659306823548218
0.0,2,146.04816031455994,inf,,1,0.1960351628227277,,,,0.7235553919763913,0.4633422409670405,,,,,0.3482039567279924,0.7002650705426616
0.0,3,147.9423565864563,inf,,1,0.19567424932156413,,,,0.7107949944791526,0.46077140754465234,,,,,0.34006916731902925,0.7246343773457464
0.0,4,147.05285573005676,inf,,1,0.19556010880567895,,,,0.6867169672432325,0.46159795788349217,,,,,0.32712048442094244,0.7864572640739877
0.0,5,146.6262013912201,inf,,1,0.1956239777601506,,,,0.690390136179559,0.4572005502651058,,,,,0.3279880953168681,0.7645205594339319
0.0,6,145.4646337032318,inf,,1,0.1955179339287185,,,,0.7123702613175772,0.46115719960436485,,,,,0.339364408566479,0.7198552728742449
0.0,7,145.6321256160736,inf,,1,0.19537406435018223,,,,0.7151785057047688,0.4649513663697692,,,,,0.34294087000281825,0.7249665849100153
0.0,8,144.3622887134552,inf,,1,0.195506351316538,,,,0.7196172248803298,0.4670679156465817,,,,,0.3464077607485535,0.7197205590248297
0.0,9,146.09975719451904,inf,,1,0.19550025322399764,,,,0.7536326831063118,0.45920170633470303,,,,,0.37026674724134573,0.615149329754605
0.0,10,146.3497269153595,inf,,1,0.19546905721377042,,,,0.7011299227088184,0.4628211022792065,,,,,0.33422416658364856,0.7523038512754212
0.0,11,145.53633737564087,inf,,1,0.19555686580185638,,,,0.6837872653661623,0.4599501355617074,,,,,0.32623688103705634,0.7899025879047634
0.0,12,145.68263244628906,inf,,1,0.19536073348281477,,,,0.738553551711392,0.46354357842217153,,,,,0.35899674066427434,0.6631211043853003
0.0,1,78.76534748077393,inf,,2,0.17118693650997013,0.233279395338757,,,,,0.14223830660058098,0.17161943319838058,,,,
0.0,2,79.40241312980652,inf,,2,0.16945470953506767,0.23328668895038676,,,,,0.14382506113460844,0.17161943319838058,,,,
0.0,3,77.76382756233215,inf,,2,0.16947501370666918,0.2332757485329421,,,,,0.14280868163027602,0.17161943319838058,,,,
0.0,4,77.04076838493347,inf,,2,0.1693442923380283,0.23328200020005335,,,,,0.1412332369845094,0.17161943319838058,,,,
0.0,5,76.2065200805664,inf,,2,0.16952804415607237,0.2332757485329421,,,,,0.14447392339978443,0.17161943319838058,,,,
0.0,6,77.73514819145203,inf,,2,0.16939926769899413,0.23328200020005335,,,,,0.14527759167601548,0.17161943319838058,,,,
0.0,7,78.13774180412292,inf,,2,0.16938941064843435,0.2332861679781275,,,,,0.1437672214114928,0.17161943319838058,,,,
0.0,8,77.57911896705627,inf,,2,0.1693419579194924,0.2332809582555348,,,,,0.14362748350668347,0.17161943319838058,,,,
0.0,9,75.59949088096619,inf,,2,0.16935586415690307,0.23328304214457188,,,,,0.14424417191793443,0.17161943319838058,,,,
,1,353.12896943092346,,KAN-GAT,3,0.010684270709753037,,1091074.0,0.5683565140386518,,,4.845412206341291,,156090.0,0.5744939271255061,,
,2,379.2125105857849,,KAN-GAT,3,0.010628592654441793,,1091074.0,0.5683565140386518,,,4.823929842105765,,156090.0,0.5744939271255061,,
,3,451.61636567115784,,KAN-GAT,3,0.010581567039092382,,1091074.0,0.5683565140386518,,,4.802983035142152,,156090.0,0.5744939271255061,,
,4,488.60461807250977,,KAN-GAT,3,0.01054198165734609,,1091074.0,0.5683565140386518,,,4.7824634091204405,,156090.0,0.5744939271255061,,
,5,500.72266387939453,,KAN-GAT,3,0.010496437093243003,,1091074.0,0.5683565140386518,,,4.762352890827355,,156090.0,0.5744939271255061,,
,6,504.8179862499237,,KAN-GAT,3,0.0104638499331971,,1091074.0,0.5683565140386518,,,4.7427995008651145,,156090.0,0.5744939271255061,,
,7,499.8666853904724,,KAN-GAT,3,0.010419169000039499,,1091074.0,0.5683565140386518,,,4.7235621612795,,156090.0,0.5744939271255061,,
,8,488.28717494010925,,KAN-GAT,3,0.010372914324204128,,1091074.0,0.5683565140386518,,,4.704701595090458,,156090.0,0.5744939271255061,,
,9,469.32863450050354,,KAN-GAT,3,0.010330988764762879,,1091074.0,0.5683565140386518,,,4.686282465359803,,156090.0,0.5744939271255061,,
,10,469.0605728626251,,KAN-GAT,3,0.010297882345815499,,1091074.0,0.5683565140386518,,,4.668251991963206,,156090.0,0.5744939271255061,,
,11,465.84535098075867,,KAN-GAT,3,0.010254214700932305,,1091074.0,0.5683565140386518,,,4.650613256614004,,156090.0,0.5744939271255061,,
,12,476.03137731552124,,KAN-GAT,3,0.010222866131613651,,1091074.0,0.5683565140386518,,,4.633247177196986,,156090.0,0.5744939271255061,,
,13,465.6887311935425,,KAN-GAT,3,0.010186584945768119,,1091074.0,0.5683565140386518,,,4.616322494354022,,156090.0,0.5744939271255061,,
,14,432.2178566455841,,KAN-GAT,3,0.010153198267022769,,1091074.0,0.5683565140386518,,,4.599813283577699,,156090.0,0.5744939271255061,,
,15,433.8330681324005,,KAN-GAT,3,0.01011176993449529,,1091074.0,0.5683565140386518,,,4.583566104006166,,156090.0,0.5744939271255061,,
