metric,value
regression_mae_delayed,13.027483040305592
regression_rmse_delayed,15.209819504241784
regression_mae_nondelayed,0.591941962380782
regression_rmse_nondelayed,1.1517848410009592
regression_mae_overall,2.8718775641005885
regression_rmse_overall,6.595231105534857
num_delayed_samples,404599
num_nondelayed_samples,1802221
target_epsilon,15.0
final_epsilon,0.029973814430088903
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
train_time_seconds,13827.056420087814
train_time_minutes,230.4509403347969
train_samples,55218
val_samples,7871
test_samples,15763
