metric,value
classification_precision,0.4344882374658634
classification_recall,0.8428343061475596
classification_f1,0.5729388824518701
classification_accuracy,0.6971264157836793
regression_mae_delayed,7.658087916543005
regression_rmse_delayed,9.861268190034995
regression_mae_nondelayed,5.814831629533916
regression_rmse_nondelayed,7.261082072699823
regression_mae_overall,6.260866651516949
regression_rmse_overall,7.968479766727181
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,15.0
final_epsilon,inf
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,0.0
stage1_time_seconds,715.7755599021912
stage2_time_seconds,265.7006685733795
stage3_time_seconds,860.2527160644531
total_training_time_seconds,1841.7289445400238
total_training_time_minutes,30.695482409000398
train_samples,19207
val_samples,2727
test_samples,5474
