metric,value
classification_precision,0.45171113064126905
classification_recall,0.5633727778730986
classification_f1,0.5013369450533095
classification_accuracy,0.729035440263035
regression_mae_delayed,9.009111785200334
regression_rmse_delayed,11.554840087444628
regression_mae_nondelayed,4.351375218443761
regression_rmse_nondelayed,5.93542745823525
regression_mae_overall,5.478464081010699
regression_rmse_overall,7.681960483780187
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,15.0
final_epsilon,0.2899040051064732
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,5167.786105871201
stage2_time_seconds,952.9721817970276
stage3_time_seconds,1578.2189695835114
total_training_time_seconds,7698.9772572517395
total_training_time_minutes,128.3162876208623
train_samples,19207
val_samples,2727
test_samples,5474
