delta,epoch,epoch_time_seconds,epsilon,lr,train_loss,val_loss
1e-05,1,1781.4195973873138,0.03039890662172485,0.001,0.3756560471993146,0.32321291182549294
1e-05,2,1685.7053253650665,0.03962580163172995,0.001,0.3730734260101115,0.31061976582296497
1e-05,3,1685.151415348053,0.04719320969008713,0.001,0.37259138719589147,0.30774653816853115
1e-05,4,1682.5341818332672,0.053383969120199784,0.001,0.3709811078718286,0.30749740647487384
1e-05,5,1680.7097737789154,0.05911742742020161,0.001,0.3705409783575753,0.3090922272890702
1e-05,6,1681.7473001480103,0.06421997002917815,0.001,0.3702844962821629,0.3047564330987814
1e-05,7,1683.085126399994,0.06896970574244371,0.001,0.36943122250404437,0.30925777473343097
1e-05,8,1683.2486488819122,0.0734791958362446,0.001,0.3693878530373332,0.3084288138909207
1e-05,9,1681.0911571979523,0.07766649093454984,0.0005,0.3684676461387842,0.30583258748539094
1e-05,10,1680.9297301769257,0.08165427832182406,0.0005,0.3675770970065061,0.30683837463596836
1e-05,11,1684.732519865036,0.08551182346031823,0.0005,0.3669247597719489,0.3109720090177001
