================================================================================
COMPREHENSIVE EVALUATION RESULTS
================================================================================

MODEL INFORMATION
Model Path,checkpoints\run_20260111_155839_pid8196_ddf356\cnnopacus_simple_udata_sigma1_00_model_20260111_210902.pth
Run Tag,cnnopacus_simple_udata_sigma1_00
Timestamp,20260111_210902
Artifact Prefix,train
Horizons,12
Delay Threshold,5.0 min (Delayed if > threshold)
Classification Threshold,N/A (single-stage regression)
DP Enabled,True
Noise Multiplier (sigma),1.0
Final Epsilon,0.086
Target Epsilon,15.000
Final Delta,1.00e-05
Epsilon Exceeded,False
Train Samples,55218
Val Samples,7871
Test Samples,15763

================================================================================
REGRESSION METRICS
================================================================================
Metric,Value
Overall MAE (min),2.8845
Overall RMSE (min),6.4685

================================================================================
OVERALL SUMMARY TABLE
================================================================================
Epsilon,Overall MAE (min),Arrival MAE (min),Departure MAE (min)
0.09,2.8845,2.3417,3.4273

================================================================================
DETAILED METRICS - DELAYED (>5.0 min)
================================================================================
Group,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target
Delayed,404599,14.1613,16.2746,-3.0916,11.4966,13.7916,-2.3041,0.18,14.34,1.99,13.49

================================================================================
DETAILED METRICS - NON-DELAYED (<= 5.0 min)
================================================================================
Group,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target
Non-delayed,1802221,0.2607,0.8787,-0.1248,1.1913,1.6399,-1.3303,0.04,0.24,1.22,0.43

================================================================================
"SUMMARY (raw metric/value, matches summary CSV)"
================================================================================
metric,value
regression_mae_delayed,12.584527284533968
regression_rmse_delayed,14.855511211609075
regression_mae_nondelayed,0.7067950634503324
regression_rmse_nondelayed,1.300486004717692
regression_mae_overall,2.884461832338693
regression_rmse_overall,6.4685283903450115
num_delayed_samples,404599
num_nondelayed_samples,1802221
target_epsilon,15.0
final_epsilon,0.08551182346031823
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
train_time_seconds,18617.414036989212
train_time_minutes,310.2902339498202
train_samples,55218
val_samples,7871
test_samples,15763
