metric,value
classification_precision,0.45062898194617906
classification_recall,0.7192007036157027
classification_f1,0.5539032343015465
classification_accuracy,0.7202502740226262
regression_mae_delayed,8.232165995916915
regression_rmse_delayed,10.597830860873886
regression_mae_nondelayed,4.84360401671316
regression_rmse_nondelayed,6.641548053976097
regression_mae_overall,5.663575350888004
regression_rmse_overall,7.785516890079641
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,25.0
final_epsilon,24.99633207061896
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,7256.8227598667145
stage2_time_seconds,1899.3975925445557
stage3_time_seconds,2230.258904695511
total_training_time_seconds,11386.479257106781
total_training_time_minutes,189.77465428511303
train_samples,19207
val_samples,2727
test_samples,5474
