delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,710.100827217102,7.251095823961186,1,0.2911879886185065,,,,0.7711221122111644,0.40036547528755007,,,,,0.36277441726999327,0.449709174663823
1e-05,2,713.3441474437714,7.9774703645112925,1,0.26665475093358615,,,,0.7214008067472883,0.4377843716801589,,,,,0.3341674828911135,0.6377668864684516
1e-05,3,714.1740980148315,8.492261916921256,1,0.259601720744087,,,,0.7599889988998343,0.4145017710189461,,,,,0.35568356612358976,0.49944675068137495
1e-05,4,715.5204145908356,8.969953597182968,1,0.2589778805380502,,,,0.7064246424641946,0.4391968194155237,,,,,0.3258681701475528,0.6752464830158614
1e-05,5,712.6432635784149,9.34913245622026,1,0.25524573539955014,,,,0.7477044371103228,0.42200649146245495,,,,,0.34632104949042236,0.5405550420547499
1e-05,6,714.9706621170044,9.689988481921661,1,0.2535158903165456,,,,0.7572753942060317,0.42903440078465527,,,,,0.35956450151518754,0.5374007121599276
1e-05,7,773.3828873634338,10.030844507623062,1,0.2535503519611084,,,,0.7368316831682628,0.4373695993928256,,,,,0.3441290711431434,0.5999443094346988
1e-05,8,759.5399580001831,10.371700533324464,1,0.2537189630652008,,,,0.708019801980146,0.4493309282806579,,,,,0.33118595437054194,0.6985874674888046
1e-05,9,728.4027070999146,10.635795199895258,1,0.25244813301791447,,,,0.6870150348367665,0.4488011875456827,,,,,0.3212872647464027,0.7498923412832497
1e-05,10,742.8976943492889,10.891892338742732,1,0.25255409615639207,,,,0.7131683168316307,0.4481201773562943,,,,,0.3335883065078752,0.6837369664563553
1e-05,1,172.87911581993103,11.147989477590208,2,0.18446547774013536,0.23287080752575903,,,,,0.1660601302215479,0.17103043637697102,,,,
1e-05,2,176.6143729686737,11.404086616437683,2,0.1807840654591232,0.23287020642822923,,,,,0.15412899677051806,0.17103043637697102,,,,
1e-05,3,166.09802150726318,11.660183755285159,2,0.17922388129105127,0.23309969642481357,,,,,0.15531095784594565,0.17103043637697102,,,,
1e-05,4,164.88354229927063,11.916280894132633,2,0.17890831826230394,0.23279334947524893,,,,,0.15203014023217162,0.17103043637697102,,,,
1e-05,5,168.17502808570862,12.15432860696511,2,0.17901240282954453,0.2331242346237473,,,,,0.1581120967147387,0.17103043637697102,,,,
1e-05,6,166.7718403339386,12.354938499621978,2,0.17930043243533197,0.2331270789742288,,,,,0.1556835609861058,0.17103043637697102,,,,
1e-05,7,776.7268879413605,12.555548392278846,2,0.17832182698652954,0.2334354575588942,,,,,0.15773280354163702,0.17103043637697102,,,,
1e-05,8,193.2920708656311,12.756158284935715,2,0.17853259421751932,0.23297337262701892,,,,,0.15718754770304774,0.17103043637697102,,,,
1e-05,1,185.08952498435974,12.956768177592583,3,0.05745479406506395,,1083844.0,0.5641729824269176,,,7.126230872482565,,155724.0,0.5710451045104511,,
1e-05,2,188.32393717765808,13.157378070249452,3,0.014790088157793962,,1083324.0,0.5636183150823479,,,6.06310225416527,,155724.0,0.5710451045104511,,
1e-05,3,178.10351848602295,13.35798796290632,3,0.011587666045209943,,1084193.0,0.5640457773810044,,,5.679801194545923,,155724.0,0.5710451045104511,,
1e-05,4,187.23560523986816,13.558597855563187,3,0.010253605781837115,,1083494.0,0.5642651284823449,,,5.4825417860140275,,155724.0,0.5710451045104511,,
1e-05,5,190.74609351158142,13.759207748220057,3,0.009554696134451734,,1084818.0,0.5642940147750196,,,5.335044812697631,,155724.0,0.5710451045104511,,
1e-05,6,183.77652144432068,13.959817640876926,3,0.008998514549825087,,1084139.0,0.5642331420529832,,,5.26655856338216,,155724.0,0.5710451045104511,,
1e-05,7,193.33863925933838,14.160427533533793,3,0.008641402713982504,,1085240.0,0.564427209672923,,,5.223362705043009,,155724.0,0.5710451045104511,,
1e-05,8,180.41886115074158,14.348364662563977,3,0.008439387074114034,,1081477.0,0.5637954799479514,,,5.198385626021738,,155724.0,0.5710451045104511,,
1e-05,9,182.19780039787292,14.510739030206809,3,0.008273090240140864,,1084219.0,0.5644433963049961,,,5.150095790540747,,155724.0,0.5710451045104511,,
1e-05,10,192.14124751091003,14.673113397849642,3,0.008111595177525912,,1082675.0,0.5641764927807503,,,5.132851636446103,,155724.0,0.5710451045104511,,
1e-05,11,189.05105900764465,14.835487765492475,3,0.008014946280751686,,1086670.0,0.5646353021378482,,,5.104887548736236,,155724.0,0.5710451045104511,,
1e-05,12,177.52180314064026,14.997862133135305,3,0.007944930468249437,,1085225.0,0.5644669675839477,,,5.1061309427162715,,155724.0,0.5710451045104511,,
