delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,720.0432105064392,1.6345520726381322,1,0.33471785267848264,,,,0.7454858819214707,0.41271280759797657,,,,,0.34078009776366147,0.5261196220709586
1e-05,2,706.8455758094788,1.6740598501044441,1,0.32937789492466013,,,,0.7504950495048954,0.4080931047806605,,,,,0.3435385995419592,0.5063940789175027
1e-05,3,710.2892997264862,1.7019071199798648,1,0.3065584566323988,,,,0.7359809314264218,0.42093650987876424,,,,,0.33651618702912545,0.5636523088565926
1e-05,4,713.7295851707458,1.721878083306489,1,0.29990551336682086,,,,0.7401503483681158,0.4174713318477243,,,,,0.338988731775996,0.5485570036629275
1e-05,5,714.7826237678528,1.7393141643442498,1,0.2941207755779114,,,,0.7628566189951769,0.40049876569533543,,,,,0.35265089612628175,0.4655346922993553
1e-05,6,713.3036246299744,1.7567502453820107,1,0.2871401436712322,,,,0.728360836083555,0.4273012687719322,,,,,0.3340706935287537,0.5959422663053682
1e-05,7,773.0234124660492,1.7717416069215652,1,0.2806032642034873,,,,0.7261972863952528,0.43282364105384175,,,,,0.3347143189660118,0.6129752778288731
1e-05,8,758.1657812595367,1.783810608259038,1,0.28396870466398577,,,,0.7354675467546214,0.4326633271015261,,,,,0.34144648282741363,0.5927893937386098
1e-05,9,729.6033139228821,1.7958796095965108,1,0.2804076885007534,,,,0.7386358635863044,0.4279856436732702,,,,,0.34195709467568014,0.5749091020895751
1e-05,10,741.0773713588715,1.8079486109339835,1,0.2807009934056158,,,,0.7389658965896047,0.4246929437750915,,,,,0.3403186149573688,0.5650774093349493
1e-05,1,174.40685653686523,1.8200176122714564,2,0.19625341632038204,0.2326699541177143,,,,,0.172036577331889,0.17103043637697102,,,,
1e-05,2,176.07329177856445,1.8320866136089293,2,0.1911819453212904,0.23371634530697416,,,,,0.1631584082944421,0.17103043637697102,,,,
1e-05,3,165.48621535301208,1.8434991535651053,2,0.18517749198228,0.23301281884604383,,,,,0.16036558691222189,0.17103043637697102,,,,
1e-05,4,166.10403776168823,1.8527051108770343,2,0.18411885121486182,0.23358906072779198,,,,,0.16186117754107268,0.17103043637697102,,,,
1e-05,5,169.6729245185852,1.8619110681889637,2,0.18536777043046235,0.2331648656980038,,,,,0.1633065982939779,0.17103043637697102,,,,
1e-05,6,169.05279159545898,1.8711170255008926,2,0.18490249005036333,0.23259963252392662,,,,,0.15527124532883266,0.17103043637697102,,,,
1e-05,7,772.4159886837006,1.8803229828128216,2,0.18501236445663516,0.23303620781367596,,,,,0.15287940720326987,0.17103043637697102,,,,
1e-05,8,193.5099139213562,1.889528940124751,2,0.18649018570975412,0.23272952183840487,,,,,0.1590854522152271,0.17103043637697102,,,,
1e-05,1,187.05707359313965,1.89873489743668,3,0.09765908389864476,,1085618.0,0.5644030611183896,,,11.129331090436867,,155724.0,0.5710451045104511,,
1e-05,2,187.76935029029846,1.907940854748609,3,0.024817433822115473,,1084413.0,0.5641191440307297,,,7.786124560164242,,155724.0,0.5710451045104511,,
1e-05,3,179.22638750076294,1.917146812060538,3,0.016075775189406154,,1082434.0,0.5643532248040676,,,6.683167575294148,,155724.0,0.5710451045104511,,
1e-05,4,188.3859875202179,1.9263527693724674,3,0.012974103455057095,,1082479.0,0.5637905585515015,,,6.170770742537324,,155724.0,0.5710451045104511,,
1e-05,5,189.96030569076538,1.9355587266843963,3,0.01143741984701445,,1085464.0,0.5643787468348507,,,5.8926358584028025,,155724.0,0.5710451045104511,,
1e-05,6,184.20229578018188,1.944724685141901,3,0.01058865676438364,,1086086.0,0.5643365465753823,,,5.833789175701298,,155724.0,0.5710451045104511,,
1e-05,7,193.90460658073425,1.9523418952580436,3,0.010189764762365055,,1084915.0,0.5645747144381131,,,5.773193929085812,,155724.0,0.5710451045104511,,
1e-05,8,181.6428360939026,1.959959105374186,3,0.009913878998683403,,1084833.0,0.5644597834638295,,,5.7703304231362536,,155724.0,0.5710451045104511,,
1e-05,9,185.32644867897034,1.9675763154903285,3,0.009714841552187225,,1084275.0,0.5643244813070687,,,5.71260915489738,,155724.0,0.5710451045104511,,
1e-05,10,193.89226865768433,1.975193525606471,3,0.009558732824221797,,1085437.0,0.5642849047756194,,,5.6981801993683625,,155724.0,0.5710451045104511,,
1e-05,11,188.87593388557434,1.982810735722614,3,0.009418526571951618,,1082667.0,0.563506934360137,,,5.704354596518217,,155724.0,0.5710451045104511,,
1e-05,12,173.99534392356873,1.9904279458387564,3,0.009258031688144683,,1085300.0,0.5641673424406878,,,5.704820110359514,,155724.0,0.5710451045104511,,
