metric,value
classification_precision,0.4543128138330459
classification_recall,0.6585732040107198
classification_f1,0.5376705049656807
classification_accuracy,0.7260979174278142
regression_mae_delayed,8.652785322816781
regression_rmse_delayed,11.180296944048033
regression_mae_nondelayed,4.4617924681142735
regression_rmse_nondelayed,5.990072898682869
regression_mae_overall,5.475937708389665
regression_rmse_overall,7.579310650871518
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,2.0
final_epsilon,1.9904279458387564
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,7281.194229125977
stage2_time_seconds,1987.0345118045807
stage3_time_seconds,2234.709306001663
total_training_time_seconds,11502.93804693222
total_training_time_minutes,191.715634115537
train_samples,19207
val_samples,2727
test_samples,5474
