metric,value
classification_precision,0.4492032471972578
classification_recall,0.7074617695866317
classification_f1,0.5490541125523667
classification_accuracy,0.7196583850931414
regression_mae_delayed,8.472286025448012
regression_rmse_delayed,10.961484943839475
regression_mae_nondelayed,4.690772067916777
regression_rmse_nondelayed,6.182508303818414
regression_mae_overall,5.605830745900969
regression_rmse_overall,7.619001378252589
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,7.5
final_epsilon,7.499784931809295
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,7278.268522977829
stage2_time_seconds,1894.5346505641937
stage3_time_seconds,2235.6818420886993
total_training_time_seconds,11408.485015630722
total_training_time_minutes,190.1414169271787
train_samples,19207
val_samples,2727
test_samples,5474
