================================================================================
COMPREHENSIVE EVALUATION RESULTS
================================================================================

MODEL INFORMATION
Model Path,checkpoints\run_20260121_083909_pid20340_e4da93\cnnopacus_cdata_sigma0_00_model_20260121_092316.pth
Run Tag,cnnopacus_cdata_sigma0_00
Timestamp,20260121_092316
Artifact Prefix,train

=== COMMAND-LINE ARGUMENTS ===
data_source,cdata
seq_len,8
horizons,12
delay_threshold,5.0 min
class_threshold,0.5
use_node_level,True
exclude_time_features,True
weather_file,weather_cn.npy
period_hours,24
stage1_epochs,8
stage2_epochs,10
stage3_epochs,14
batch_size,128
lr,0.005
patience,5
dp,False
dp_accountant,rdp
epsilon (target),15.000
target_delta,1e-05
noise_multiplier,0.0
max_grad_norm,2.0
sample_rate,0.02
epsilon_tolerance,0.05
model_path,checkpoints\run_20260121_083909_pid20340_e4da93\cnnopacus_cdata_sigma0_00_model_20260121_092316.pth
checkpoint_dir,auto
seed,
balance_50_50,False
epsilonfixed,False

=== TRAINING RESULTS ===
Final Epsilon,0.000
Final Delta,0.00e+00
Epsilon Exceeded,False
Train Samples,19207
Val Samples,2727
Test Samples,5474

================================================================================
CLASSIFICATION METRICS (Macro over Arrival/Departure)
================================================================================
Metric,Value
Precision,0.4287
Recall,0.7861
F1 Score,0.5544
Accuracy,0.6951

Per-Channel Metrics:
Channel,Precision,Recall,F1 Score,Accuracy
Arrival,0.4317,0.7511,0.5483,0.6733
Departure,0.4256,0.8211,0.5606,0.7168

================================================================================
OVERALL SUMMARY TABLE
================================================================================
Epsilon,Overall MAE (min),Arrival MAE (min),Departure MAE (min),Precision,Recall,F1 Score,Accuracy
0.00,6.6688,7.0487,6.2888,0.4287,0.7861,0.5544,0.6951

================================================================================
DETAILED METRICS - DELAYED (>5.0 min)
================================================================================
Group,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target
Delayed,132461,7.7355,10.0163,-0.4415,7.8164,10.0602,-0.4390,11.46,16.90,11.66,16.93

================================================================================
DETAILED METRICS - NON-DELAYED (<= 5.0 min)
================================================================================
Group,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target
Non-delayed,414939,6.8023,7.6685,-26.5608,5.8580,7.1032,-23.1800,8.60,1.80,7.71,1.85

================================================================================
"SUMMARY (raw metric/value, matches summary CSV)"
================================================================================
metric,value
classification_precision,0.4286537315554066
classification_recall,0.7861042892691958
classification_f1,0.5544486330808881
classification_accuracy,0.6950767263426856
classification_precision_arrival,0.4317436827699994
classification_recall_arrival,0.7511038520629575
classification_f1_arrival,0.5483113096847826
classification_accuracy_arrival,0.6733467299963217
classification_precision_departure,0.42556378034081377
classification_recall_departure,0.8211047264754341
classification_f1_departure,0.5605859564769936
classification_accuracy_departure,0.7168067226890494
regression_mae_delayed,7.772243922753622
regression_rmse_delayed,10.036319154178827
regression_mae_nondelayed,6.3164822118918
regression_rmse_nondelayed,7.383070934461126
regression_mae_overall,6.6687504836902445
regression_rmse_overall,8.10516234884015
regression_mae_delayed_arrival,7.735479001502585
regression_rmse_delayed_arrival,10.016334103842523
num_delayed_samples_arrival,72247
regression_mae_delayed_departure,7.8163558446592205
regression_rmse_delayed_departure,10.060245567702804
num_delayed_samples_departure,60214
regression_mae_nondelayed_arrival,6.802337313979874
regression_rmse_nondelayed_arrival,7.668524486204827
num_nondelayed_samples_arrival,201453
regression_mae_nondelayed_departure,5.858012017682585
regression_rmse_nondelayed_departure,7.103194792251045
num_nondelayed_samples_departure,213486
regression_mae_overall_arrival,7.048653307763044
regression_rmse_overall_arrival,8.35261880656413
regression_mae_overall_departure,6.288847659617441
regression_rmse_overall_departure,7.849909074272333
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,15.0
final_epsilon,0.0
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,0.0
stage1_time_seconds,1167.6799108982086
stage2_time_seconds,484.4178080558777
stage3_time_seconds,991.1930449008942
total_training_time_seconds,2643.2907638549805
total_training_time_minutes,44.05484606424967
train_samples,19207
val_samples,2727
test_samples,5474
