delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,441.8582761287689,7.251327566138481,1,0.278209160191427,,,,0.7344803525522781,0.44796076558900827,,,,,0.3481158988874775,0.6328967544817674
1e-05,2,582.2418882846832,7.9777386640192685,1,0.24820076555724843,,,,0.7121153139918683,0.4475295524672069,,,,,0.33320985072380394,0.6843935085918735
1e-05,3,627.5746018886566,8.492511631894802,1,0.24346544505270176,,,,0.7890525156077275,0.39624561728296165,,,,,0.3872756522792249,0.40574612696795354
1e-05,4,624.9240593910217,8.97028655048103,1,0.2416851999079954,,,,0.7533859713550677,0.4343892579612151,,,,,0.35682362827083913,0.5550673538417372
1e-05,5,629.6376893520355,9.349407729759362,1,0.24181639750156222,,,,0.8038450238706717,0.3750040443954306,,,,,0.41075410413604063,0.34511129562222376
1e-05,6,626.5970923900604,9.690318810168584,1,0.24033867965585595,,,,0.7598714652955739,0.4425805753830872,,,,,0.3663773022150829,0.5589098793690648
1e-05,1,190.55203366279602,10.031229890577805,2,0.18455296626108167,0.23383190468062431,,,,,0.16006485044310562,0.17124495042232832,,,,
1e-05,2,193.72845721244812,10.372140970987028,2,0.17999987337386159,0.23343291392046964,,,,,0.1560165432552519,0.17124495042232832,,,,
1e-05,3,193.60599374771118,10.636142009094776,2,0.17867174951406561,0.23310892066390887,,,,,0.15753841141236252,0.17124495042232832,,,,
1e-05,4,192.7244691848755,10.892277682297753,2,0.17776792955138718,0.23319921342269564,,,,,0.1566538976719431,0.17124495042232832,,,,
1e-05,5,193.4685618877411,11.14841335550073,2,0.17731814266518584,0.2330327059793677,,,,,0.1578450205068334,0.17124495042232832,,,,
1e-05,6,193.56510138511658,11.404549028703707,2,0.17818073169888854,0.23284012108013483,,,,,0.1566247044089918,0.17124495042232832,,,,
1e-05,7,195.57278633117676,11.660684701906684,2,0.1778148227179945,0.2336432542739937,,,,,0.15799755227962145,0.17124495042232832,,,,
1e-05,1,192.93983125686646,11.916820375109662,3,0.058075712585131174,,1083363.0,0.5642827156082575,,,9.2630443558433,,155388.0,0.5706500183621006,,
1e-05,2,193.39746379852295,12.154753234407385,3,0.015592657071470603,,1081096.0,0.5638055424308135,,,7.071230464874017,,155388.0,0.5706500183621006,,
1e-05,3,194.35562324523926,12.355391435560405,3,0.011583186419964545,,1083229.0,0.5643351994656881,,,6.259065540143309,,155388.0,0.5706500183621006,,
1e-05,4,194.13446593284607,12.556029636713426,3,0.010043660864577149,,1084051.0,0.5638750960987297,,,5.948853101322245,,155388.0,0.5706500183621006,,
1e-05,5,187.20328283309937,12.756667837866447,3,0.009214290313498666,,1084332.0,0.5642730911656894,,,5.791442612067033,,155388.0,0.5706500183621006,,
1e-05,6,180.89870047569275,12.957306039019466,3,0.008837505564826877,,1082140.0,0.5638865411130577,,,5.598004211825704,,155388.0,0.5706500183621006,,
1e-05,7,181.55850338935852,13.157944240172485,3,0.008472303672128867,,1086614.0,0.5644302371968551,,,5.56189916891403,,155388.0,0.5706500183621006,,
1e-05,8,174.90591859817505,13.358582441325506,3,0.008294260687244552,,1081533.0,0.5645887580574772,,,5.481476586136995,,155388.0,0.5706500183621006,,
1e-05,9,170.4477379322052,13.559220642478527,3,0.008177577238877567,,1083501.0,0.5641136577335304,,,5.420772573875642,,155388.0,0.5706500183621006,,
1e-05,10,171.19007468223572,13.759858843631546,3,0.00807205291876887,,1080982.0,0.5635133373994548,,,5.41949208506516,,155388.0,0.5706500183621006,,
1e-05,11,169.86446285247803,13.960497044784566,3,0.008017088874164855,,1085610.0,0.5649510824313072,,,5.389662998721452,,155388.0,0.5706500183621006,,
1e-05,12,170.65596055984497,14.161135245937585,3,0.007976094770239419,,1083435.0,0.5639688926598962,,,5.345860302455275,,155388.0,0.5706500183621006,,
