metric,value
classification_precision,0.46972194971808745
classification_recall,0.7175959653520914
classification_f1,0.5670700598361953
classification_accuracy,0.7358519195612163
classification_precision_arrival,0.4887882330020954
classification_recall_arrival,0.6946536353063992
classification_f1_arrival,0.5738152910985417
classification_accuracy_arrival,0.7274661791590228
classification_precision_departure,0.45065566643407945
classification_recall_departure,0.7405382953977836
classification_f1_departure,0.5603248285738489
classification_accuracy_departure,0.7442376599634097
regression_mae_delayed,8.213716006385233
regression_rmse_delayed,10.593157799904013
regression_mae_nondelayed,4.447745408984731
regression_rmse_nondelayed,6.263017920031096
regression_mae_overall,5.3594683017294455
regression_rmse_overall,7.542931461698263
regression_mae_delayed_arrival,8.275484441914738
regression_rmse_delayed_arrival,10.698637212679763
num_delayed_samples_arrival,72236
regression_mae_delayed_departure,8.139585673956102
regression_rmse_delayed_departure,10.46516499778858
num_delayed_samples_departure,60190
regression_mae_nondelayed_arrival,4.50812795427784
regression_rmse_nondelayed_arrival,6.184526474519496
num_nondelayed_samples_arrival,201264
regression_mae_nondelayed_departure,4.390772774809717
regression_rmse_nondelayed_departure,6.3361853519895295
num_nondelayed_samples_departure,213310
regression_mae_overall_arrival,5.50315085461034
regression_rmse_overall_arrival,7.640508943974706
regression_mae_overall_departure,5.215785748848551
regression_rmse_overall_departure,7.444075036483546
num_delayed_samples,132426
num_nondelayed_samples,414574
target_epsilon,15.0
final_epsilon,14.161135245937585
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,3533.242557287216
stage2_time_seconds,1353.7229270935059
stage3_time_seconds,2182.423572540283
total_training_time_seconds,7069.389056921005
total_training_time_minutes,117.82315094868342
train_samples,19203
val_samples,2723
test_samples,5470
