metric,value
classification_precision,0.5038497085646005
classification_recall,0.694694490973568
classification_f1,0.5840085158322971
classification_accuracy,0.7607448755490205
classification_precision_arrival,0.5113615351426344
classification_recall_arrival,0.6897082051707416
classification_f1_arrival,0.5872935297963497
classification_accuracy_arrival,0.7439165446559025
classification_precision_departure,0.4963378819865668
classification_recall_departure,0.6996807767763942
classification_f1_departure,0.5807235018682444
classification_accuracy_departure,0.7775732064421385
regression_mae_delayed,8.421456153782025
regression_rmse_delayed,10.795236428551396
regression_mae_nondelayed,3.774313719056356
regression_rmse_nondelayed,5.679308752123534
regression_mae_overall,4.8996978460016365
regression_rmse_overall,7.257065544975521
regression_mae_delayed_arrival,8.474617545294286
regression_rmse_delayed_arrival,10.88941735846679
num_delayed_samples_arrival,72174
regression_mae_delayed_departure,8.35766354461423
regression_rmse_delayed_departure,10.681125093571596
num_delayed_samples_departure,60146
regression_mae_nondelayed_arrival,3.8671256714123645
regression_rmse_nondelayed_arrival,5.618750211835515
num_nondelayed_samples_arrival,201026
regression_mae_nondelayed_departure,3.6867414813404746
regression_rmse_nondelayed_departure,5.735862234568581
num_nondelayed_samples_departure,213054
regression_mae_overall_arrival,5.084333279412197
regression_rmse_overall_arrival,7.386231388412944
regression_mae_overall_departure,4.715062412591074
regression_rmse_overall_departure,7.125558681602805
num_delayed_samples,132320
num_nondelayed_samples,414080
target_epsilon,15.0
final_epsilon,14.993417701419675
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,5762.773402452469
stage2_time_seconds,1297.9912917613983
stage3_time_seconds,1694.27467918396
total_training_time_seconds,8755.039373397827
total_training_time_minutes,145.9173228899638
train_samples,19197
val_samples,2717
test_samples,5464
