delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,445.10764360427856,7.249504684790882,1,0.258676794194197,,,,0.7611619328660448,0.46853620089494535,,,,,0.37884134108372314,0.61529435378196
1e-05,2,593.3160872459412,7.97578801702339,1,0.23437368880219264,,,,0.7667724087052181,0.47418190556448836,,,,,0.38653881315210203,0.6145520993705575
1e-05,3,633.3822777271271,8.490840090604584,1,0.22839496751043142,,,,0.7584138694208219,0.47449969175431317,,,,,0.37840195542881006,0.636860959581315
1e-05,4,629.2817869186401,8.968057828760738,1,0.2270683192228619,,,,0.773633345628862,0.4698959369400781,,,,,0.3961750590956204,0.5817045251067858
1e-05,5,633.2431519031525,9.347714147874502,1,0.22368919940254067,,,,0.7693655477682944,0.479284315397005,,,,,0.39140857490099734,0.618083707833901
1e-05,6,623.2571606636047,9.688286511906751,1,0.22690266949920515,,,,0.7691257838435434,0.47935032259287785,,,,,0.3913036715065624,0.6187274110854108
1e-05,7,540.9324951171875,10.028858875939001,1,0.22455732303611273,,,,0.7843415713758182,0.4735354183488256,,,,,0.40926306995785594,0.5641285128063951
1e-05,8,539.5801837444305,10.36943123997125,1,0.22500729124752022,,,,0.6977130210254003,0.4730157016118667,,,,,0.3372766196558735,0.7917106041981758
1e-05,9,540.6272869110107,10.634179254507316,1,0.22496953512367365,,,,0.7790667650312961,0.4670966206754935,,,,,0.3991302680057519,0.5632965421110856
1e-05,10,538.842333316803,10.890096843867243,1,0.2277304298077288,,,,0.7858391737365705,0.4679379530869606,,,,,0.4097582514307321,0.5473889668900006
1e-05,1,179.30093955993652,11.146014433227169,2,0.17662095632789293,0.23401871244527778,,,,,0.1470879384484586,0.1718406492069347,,,,
1e-05,2,178.5635802745819,11.401932022587095,2,0.17396457193790874,0.23349992336094078,,,,,0.1631372047944016,0.1718406492069347,,,,
1e-05,3,178.91088271141052,11.65784961194702,2,0.17327643938168755,0.23290207083111467,,,,,0.1517396628201699,0.1718406492069347,,,,
1e-05,4,168.563978433609,11.913767201306948,2,0.17226116241336745,0.23258288682078204,,,,,0.15455088564951053,0.1718406492069347,,,,
1e-05,5,169.36449146270752,12.152535454331002,2,0.1716789646316481,0.2331445139802349,,,,,0.14885353628843415,0.1718406492069347,,,,
1e-05,6,168.78753209114075,12.35302580347893,2,0.1725100406702158,0.23416707859614433,,,,,0.15588893549938046,0.1718406492069347,,,,
1e-05,1,169.17621517181396,12.553516152626857,3,0.025487207088450477,,1081399.0,0.5636196569703565,,,5.159959115826712,,154447.0,0.569704905938768,,
1e-05,2,168.69763231277466,12.754006501774784,3,0.009681130170740132,,1085274.0,0.5646792547075076,,,4.8427793368120255,,154447.0,0.569704905938768,,
1e-05,3,151.13558983802795,12.954496850922713,3,0.008511848364608129,,1081429.0,0.5635219227807035,,,4.729606425423066,,154447.0,0.569704905938768,,
1e-05,4,151.1148111820221,13.154987200070641,3,0.008037653122174294,,1083670.0,0.5638147543849426,,,4.672500482777079,,154447.0,0.569704905938768,,
1e-05,5,151.26036667823792,13.355477549218568,3,0.0076912298543829775,,1079638.0,0.5641130945289853,,,4.66201916310982,,154447.0,0.569704905938768,,
1e-05,6,146.86442494392395,13.555967898366495,3,0.007493876438436308,,1084969.0,0.5646862700807654,,,4.646761236112561,,154447.0,0.569704905938768,,
1e-05,7,146.5761296749115,13.756458247514423,3,0.007335345313298436,,1082743.0,0.5647840583550503,,,4.631897166413559,,154447.0,0.569704905938768,,
1e-05,8,147.0609095096588,13.956948596662352,3,0.007267747944335219,,1081954.0,0.5640706150507946,,,4.619079425445528,,154447.0,0.569704905938768,,
1e-05,9,148.52449536323547,14.157438945810279,3,0.00716850784358092,,1082103.0,0.5635213503227702,,,4.605432317561424,,154447.0,0.569704905938768,,
1e-05,10,148.10780096054077,14.346201063396888,3,0.007114538378277924,,1080323.0,0.5637716948068145,,,4.594445623499645,,154447.0,0.569704905938768,,
1e-05,11,154.52411818504333,14.50849221568714,3,0.007036205343721935,,1083013.0,0.5643920325269347,,,4.594315598594822,,154447.0,0.569704905938768,,
1e-05,12,148.314439535141,14.670783367977391,3,0.006992040747798994,,1080130.0,0.5634357515380466,,,4.596828485000967,,154447.0,0.569704905938768,,
