metric,value
classification_precision,0.5050543013180373
classification_recall,0.7559552635875775
classification_f1,0.6055279337138069
classification_accuracy,0.7614437522901882
classification_precision_arrival,0.5061043793880492
classification_recall_arrival,0.7654993622801579
classification_f1_arrival,0.6093448201304693
classification_accuracy_arrival,0.740564309270768
classification_precision_departure,0.5040042232480255
classification_recall_departure,0.746411164894997
classification_f1_departure,0.6017110472971443
classification_accuracy_departure,0.7823231953096085
regression_mae_delayed,8.154886716000258
regression_rmse_delayed,10.491991915416452
regression_mae_nondelayed,3.890403350590172
regression_rmse_nondelayed,5.7690538059118985
regression_mae_overall,4.923700640059061
regression_rmse_overall,7.203529288007438
regression_mae_delayed_arrival,8.111799052732186
regression_rmse_delayed_arrival,10.428479932707438
num_delayed_samples_arrival,72132
regression_mae_delayed_departure,8.206585891389127
regression_rmse_delayed_departure,10.567693668565619
num_delayed_samples_departure,60117
regression_mae_nondelayed_arrival,4.151566865038958
regression_rmse_nondelayed_arrival,5.962237592745282
num_nondelayed_samples_arrival,200768
regression_mae_nondelayed_departure,3.643986689161139
regression_rmse_nondelayed_departure,5.5806500604271045
num_nondelayed_samples_departure,212783
regression_mae_overall_arrival,5.19832197006896
regression_rmse_overall_arrival,7.409288206861832
regression_mae_overall_departure,4.649079310049158
regression_rmse_overall_departure,6.9917177198468226
num_delayed_samples,132249
num_nondelayed_samples,413551
target_epsilon,15.0
final_epsilon,14.670783367977391
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,5718.264142036438
stage2_time_seconds,1043.934977531433
stage3_time_seconds,1832.0555911064148
total_training_time_seconds,8594.254710674286
total_training_time_minutes,143.2375785112381
train_samples,19191
val_samples,2711
test_samples,5458
