accuracy,epoch,f1,mae,precision,recall,rmse,samples_used,stage,train_loss
0.9985988347822748,1,0.9992989212310408,,0.9985988347822748,0.9999999999999818,,,1,0.000973429137400836
0.9985988347822748,2,0.9992989212310408,,0.9985988347822748,0.9999999999999818,,,1,0.0009732205616129478
0.9985988347822748,3,0.9992989212310408,,0.9985988347822748,0.9999999999999818,,,1,0.0009732226804257635
0.9985988347822748,4,0.9992989212310408,,0.9985988347822748,0.9999999999999818,,,1,0.000973235636672058
,1,,7.283615589141846,,,9.790987968444824,55218,2,0.8048602733868989
,2,,7.267618179321289,,,9.69334888458252,55218,2,0.8043013516196232
,3,,7.183704376220703,,,9.555350303649902,55218,2,0.8042885326151223
,4,,7.258701324462891,,,9.7765474319458,55218,2,0.8042398535431744
,5,,7.311234474182129,,,9.779548645019531,55218,2,0.8042365926234775
,6,,7.117671012878418,,,9.496235847473145,55218,2,0.8042586829819796
,7,,7.26378059387207,,,9.66574764251709,55218,2,0.8042832175453182
,8,,7.325324058532715,,,9.641724586486816,55218,2,0.804235952339747
,9,,7.476309299468994,,,9.938823699951172,55218,2,0.804180970991749
