metric,value
classification_precision,0.4659653177181272
classification_recall,0.7037978336201327
classification_f1,0.5598380016443443
classification_accuracy,0.7333723054438899
regression_mae_delayed,8.514739749850104
regression_rmse_delayed,10.99433994257014
regression_mae_nondelayed,4.244430668600269
regression_rmse_nondelayed,5.924295220563888
regression_mae_overall,5.277769015716518
regression_rmse_overall,7.473558156690536
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,15.0
final_epsilon,14.997862133135305
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,6583.535141468048
stage2_time_seconds,1269.012715101242
stage3_time_seconds,1498.7497563362122
total_training_time_seconds,9351.297612905502
total_training_time_minutes,155.8549602150917
train_samples,19207
val_samples,2727
test_samples,5474
