delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,277.305513381958,6.310712873233042,1,151,0.26413925347343975,,,0.5893949394939062,0.31620411337187565,,,,0.2291804333955721,0.5554441037274666
1e-05,1,266.8275406360626,11.342211805913836,1,302,0.25910445672786786,,,0.6744114411440649,0.29844930008122605,,,,0.23735206818602492,0.4050637129420802
1e-05,2,298.3897650241852,16.373710738594628,1,453,0.255168217203475,,,0.3821598826549041,0.30315825830373533,,,,0.1875430940897967,0.7905089489428963
1e-05,3,337.79568552970886,21.405209671275422,1,604,0.2531580948671758,,,0.5724972497249305,0.3380959385956799,,,,0.23044130176335254,0.6388069223950108
1e-05,4,328.80175018310547,26.436708603956216,1,755,0.25031408963613955,,,0.6344517785111379,0.3190374266516368,,,,0.23313160302876879,0.5083190196855337
1e-05,5,326.2419550418854,31.46820753663701,1,906,0.24948481159494412,,,0.7411661166116068,0.24823196447723286,,,,0.24706732783766686,0.2503940961750567
1e-05,6,349.8429193496704,36.4997064693178,1,1057,0.25054203980411127,,,0.6450678401172978,0.3046354851466925,,,,0.24552326624114307,0.46424210365032187
1e-05,7,332.0356729030609,41.5312054019986,1,1208,0.24930909641136398,,,0.6790795746240792,0.31344852322749583,,,,0.24734981916937276,0.4307644879612129
1e-05,8,328.96617364883423,46.56270433467939,1,1359,0.24888773607891918,,,0.757605427209332,0.26558242527668663,,,,0.2753036659518976,0.2566183517615164
1e-05,0,183.66406393051147,51.594203267360186,2,1510,0.19996172436420492,,,,,0.14914847771170525,,,,
1e-05,1,181.6464605331421,56.625702200040976,2,1661,0.1883962063599896,,,,,0.14021648314406945,,,,
1e-05,2,183.17866802215576,61.657201132721774,2,1812,0.1878755647220359,,,,,0.13804213890600373,,,,
1e-05,3,180.9156084060669,66.68870006540257,2,1963,0.18752859493359825,,,,,0.13808188164741994,,,,
1e-05,4,183.6929111480713,71.72019899808336,2,2114,0.18688040182290488,,,,,0.13881134474182039,,,,
1e-05,5,183.86650347709656,76.75169793076417,2,2265,0.18557413060538816,,,,,0.13717574400721502,,,,
1e-05,6,187.08438348770142,81.78319686344496,2,2416,0.18512581229604633,,,,,0.1360529719347456,,,,
1e-05,7,183.59534692764282,86.81469579612575,2,2567,0.18578199410675378,,,,,0.14598619381408703,,,,
1e-05,8,182.9375455379486,91.84619472880654,2,2718,0.1849463912627555,,,,,0.14176858743415388,,,,
,0,76.81298542022705,91.84619472880654,3,,0.33290787268158617,1092057.0,0.5685723954808143,,,84.14957052557415,157025.0,0.5758159149248259,,
,1,78.68360590934753,91.84619472880654,3,,0.09619266483069255,1092057.0,0.5685723954808143,,,43.07080007010876,157025.0,0.5758159149248259,,
,2,77.46686720848083,91.84619472880654,3,,0.056871465623181384,1092057.0,0.5685723954808143,,,30.96300180137007,157025.0,0.5758159149248259,,
,3,76.2995069026947,91.84619472880654,3,,0.0435323603451252,1092057.0,0.5685723954808143,,,26.10926133412573,157025.0,0.5758159149248259,,
,4,75.09273266792297,91.84619472880654,3,,0.036402732454585716,1092057.0,0.5685723954808143,,,21.99719751472373,157025.0,0.5758159149248259,,
,5,76.70272707939148,91.84619472880654,3,,0.03204803680692682,1092057.0,0.5685723954808143,,,22.281744133524626,157025.0,0.5758159149248259,,
,6,92.30601644515991,91.84619472880654,3,,0.028964792150041916,1092057.0,0.5685723954808143,,,19.363211463818192,157025.0,0.5758159149248259,,
,7,85.08118486404419,91.84619472880654,3,,0.026579564856673708,1092057.0,0.5685723954808143,,,21.115239964159944,157025.0,0.5758159149248259,,
,8,75.22997570037842,91.84619472880654,3,,0.024756849169829825,1092057.0,0.5685723954808143,,,17.485368352689036,157025.0,0.5758159149248259,,
,9,76.24378561973572,91.84619472880654,3,,0.023157500779095865,1092057.0,0.5685723954808143,,,15.857133487762399,157025.0,0.5758159149248259,,
,10,73.44958972930908,91.84619472880654,3,,0.02184210288406208,1092057.0,0.5685723954808143,,,16.116673905450146,157025.0,0.5758159149248259,,
,11,75.36489248275757,91.84619472880654,3,,0.02069511292934023,1092057.0,0.5685723954808143,,,13.996792830042724,157025.0,0.5758159149248259,,
,12,75.86405324935913,91.84619472880654,3,,0.019713378998617463,1092057.0,0.5685723954808143,,,11.509718391270079,157025.0,0.5758159149248259,,
