delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,942.9823782444,2.530979669119019,1,432,0.2700951450193922,,,0.805349656061114,0.08450948507519004,,,,0.05605649721174664,0.1844302217008333
1e-05,1,821.3668494224548,3.782745397685791,1,864,0.27182353246543145,,,0.7925222788899433,0.08585647780031608,,,,0.05646088854775616,0.20300825681092602
1e-05,2,759.3755488395691,5.034511126252562,1,1296,0.27167299672685286,,,0.8496978056881346,0.0747323904632661,,,,0.06135222643934365,0.13863052860357714
1e-05,3,759.2562701702118,6.286276854819334,1,1728,0.2705519273187275,,,0.5161415322068259,0.09647681721400726,,,,0.05305366982390411,0.5317892398363468
1e-05,4,762.3880245685577,7.538042583386106,1,2160,0.27106804290303477,,,0.7683431039802391,0.0910178151332173,,,,0.05635673716668805,0.24312300735497042
1e-05,5,760.96036195755,8.789808311952878,1,2592,0.2713212799280882,,,0.5907916946476107,0.09786168207084453,,,,0.05480628486682859,0.456610160886756
1e-05,6,762.9469337463379,10.04157404051965,1,3024,0.2712015777964283,,,0.9260005081946217,0.0441410195039878,,,,0.06829445628798372,0.041608360196421335
1e-05,7,764.5403532981873,11.293339769086423,1,3456,0.27158008736592754,,,0.7218206072925799,0.08274692318890248,,,,0.050513197880748234,0.26258817843878973
1e-05,8,760.6889500617981,12.545105497653195,1,3888,0.2732031873806759,,,0.8046046064213876,0.08663900389300758,,,,0.057875736991096896,0.19818553507005338
1e-05,9,763.9132962226868,13.796871226219967,1,4320,0.2716698518919724,,,0.8822222625551139,0.07301008876219944,,,,0.061433285932355745,0.10292421336888063
1e-05,10,761.7972211837769,15.048636954786737,1,4752,0.27125487235133294,,,0.926179283808539,0.04614432378268831,,,,0.07257856530392441,0.039855752631110145
1e-05,0,433.0907528400421,16.300402683353507,2,5184,0.2688371661222643,,,,,0.30863292772011575,,,,
1e-05,1,436.0283787250519,17.55216841192028,2,5616,0.26210705046024585,,,,,0.3026541429817373,,,,
1e-05,2,435.2308897972107,18.80393414048705,2,6048,0.2604214637022879,,,,,0.2951785509234919,,,,
1e-05,3,433.3907661437988,20.05569986905382,2,6480,0.26043966322861334,,,,,0.3047849510103568,,,,
1e-05,4,432.4953751564026,21.307465597620595,2,6912,0.26044966328751157,,,,,0.2999069274482876,,,,
1e-05,5,435.4463746547699,22.559231326187366,2,7344,0.26032300383128504,,,,,0.30723334409639774,,,,
1e-05,6,434.01551032066345,23.81099705475414,2,7776,0.2595106862761356,,,,,0.2936419165128221,,,,
1e-05,7,432.06336736679077,25.06276278332091,2,8208,0.25944930128753185,,,,,0.30717948262932687,,,,
1e-05,8,432.1603753566742,26.314528511887683,2,8640,0.26018726191035024,,,,,0.3098292300987272,,,,
,0,180.04772305488586,26.314528511887683,3,,0.2638193685044017,3983441.0,0.5152875873809265,,,17.432517159664283,594563.0,0.539560230139572,,
,1,182.04124212265015,26.314528511887683,3,,0.06871953649722316,3983441.0,0.5152875873809265,,,15.44558092591565,594563.0,0.539560230139572,,
,2,178.78666043281555,26.314528511887683,3,,0.05440986992929269,3983441.0,0.5152875873809265,,,10.49895759162554,594563.0,0.539560230139572,,
,3,178.1278989315033,26.314528511887683,3,,0.04506032757840499,3983441.0,0.5152875873809265,,,10.544538892536767,594563.0,0.539560230139572,,
,4,177.29449892044067,26.314528511887683,3,,0.03947024791570449,3983441.0,0.5152875873809265,,,8.201975169577878,594563.0,0.539560230139572,,
,5,177.89897751808167,26.314528511887683,3,,0.03653889454694258,3983441.0,0.5152875873809265,,,5.431445538284233,594563.0,0.539560230139572,,
,6,178.96858620643616,26.314528511887683,3,,0.034710195958959286,3983441.0,0.5152875873809265,,,5.3576675298982765,594563.0,0.539560230139572,,
,7,178.34705424308777,26.314528511887683,3,,0.033401495639096807,3983441.0,0.5152875873809265,,,6.149890329239876,594563.0,0.539560230139572,,
,8,177.20206570625305,26.314528511887683,3,,0.03236503196725001,3983441.0,0.5152875873809265,,,5.086114037910795,594563.0,0.539560230139572,,
,9,178.46625185012817,26.314528511887683,3,,0.031587897217832506,3983441.0,0.5152875873809265,,,5.578511774837924,594563.0,0.539560230139572,,
,10,179.3371708393097,26.314528511887683,3,,0.03100991311603812,3983441.0,0.5152875873809265,,,5.062324491971484,594563.0,0.539560230139572,,
,11,178.84143900871277,26.314528511887683,3,,0.030508454988227674,3983441.0,0.5152875873809265,,,4.887183435212678,594563.0,0.539560230139572,,
,12,176.74006485939026,26.314528511887683,3,,0.03009679383184347,3983441.0,0.5152875873809265,,,5.740651202390989,594563.0,0.539560230139572,,
