metric,value
classification_precision,0.345653760266997
classification_recall,0.34356652163072177
classification_f1,0.3445708340848752
classification_accuracy,0.6824351479722074
regression_mae_delayed,8.778103073033648
regression_rmse_delayed,11.315239838714728
regression_mae_nondelayed,5.573861605457678
regression_rmse_nondelayed,6.081089693743164
regression_mae_overall,7.221406306930709
regression_rmse_overall,8.471419302582058
num_delayed_samples,132461
num_nondelayed_samples,257013
target_epsilon,15.0
final_epsilon,91.84619472880654
epsilon_exceeded,True
epsilon_overshoot,76.84619472880654
final_delta,1e-05
stage1_time_seconds,2846.266200065613
stage2_time_seconds,1650.7099738121033
stage3_time_seconds,1014.8278555870056
total_training_time_seconds,5511.804029464722
total_training_time_minutes,91.86340049107869
train_samples,19207
val_samples,2727
test_samples,5474
