metric,value
classification_precision,0.45036103852346576
classification_recall,0.685107468985292
classification_f1,0.5427239085138023
classification_accuracy,0.7217720131530609
regression_mae_delayed,8.81021443972204
regression_rmse_delayed,11.35958036895263
regression_mae_nondelayed,4.281300479306371
regression_rmse_nondelayed,5.752406185495727
regression_mae_overall,5.377216577425881
regression_rmse_overall,7.503887815328226
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,2.0
final_epsilon,1.9904279458387564
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,6572.892927646637
stage2_time_seconds,1253.7568855285645
stage3_time_seconds,1516.5282146930695
total_training_time_seconds,9343.17802786827
total_training_time_minutes,155.7196337978045
train_samples,19207
val_samples,2727
test_samples,5474
