metric,value
classification_precision,0.45118419132707915
classification_recall,0.6818131131798171
classification_f1,0.5422642486210842
classification_accuracy,0.7225940811106788
regression_mae_delayed,8.705140771755273
regression_rmse_delayed,11.203591800959096
regression_mae_nondelayed,4.356705586965368
regression_rmse_nondelayed,6.029727161504194
regression_mae_overall,5.408949052461266
regression_rmse_overall,7.611401014230837
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,7.5
final_epsilon,7.364626198049128
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,5059.425276041031
stage2_time_seconds,1422.639446735382
stage3_time_seconds,1966.3315844535828
total_training_time_seconds,8448.396307229996
total_training_time_minutes,140.80660512049994
train_samples,19207
val_samples,2727
test_samples,5474
