delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,488.59937286376953,1.6345520726381322,1,0.3239489405219061,,,,0.7502933626695452,0.40787102202354775,,,,,0.34255849553591255,0.5040388648275462
1e-05,2,600.5982208251953,1.6740598501044441,1,0.30041191031124964,,,,0.7547671433809493,0.40343718937693945,,,,,0.34615828236487567,0.4888476148423448
1e-05,3,600.949431180954,1.7019071199798648,1,0.29231492725730546,,,,0.7235790245690705,0.4225202509863366,,,,,0.32845571599906564,0.5940893034164274
1e-05,4,598.4270300865173,1.721878083306489,1,0.28052075795175807,,,,0.7220645397872592,0.4254738095600533,,,,,0.329320867121989,0.6060108529411532
1e-05,5,596.1285452842712,1.7393141643442498,1,0.28302496888182443,,,,0.7456215621561608,0.4194781883426777,,,,,0.343606010914441,0.5394495090836586
1e-05,6,596.8853039741516,1.7567502453820107,1,0.2754463797524051,,,,0.7121855518884699,0.42991988482838706,,,,,0.3247236445607768,0.6369327213660576
1e-05,7,597.3684768676758,1.7717416069215652,1,0.27204394895087813,,,,0.6886468646864181,0.434050815003359,,,,,0.3156440407963938,0.7040875481353636
1e-05,8,555.2156434059143,1.783810608259038,1,0.27299261967108046,,,,0.7162596259625437,0.4319022722199452,,,,,0.3284499306393219,0.6345700747171006
1e-05,9,512.6483535766602,1.7958796095965108,1,0.27478776397037047,,,,0.7485075174183535,0.4113944634322547,,,,,0.3435678172009946,0.5181178203227446
1e-05,10,515.217723608017,1.8079486109339835,1,0.2692411869339262,,,,0.7342390905756704,0.42384274749645867,,,,,0.3366199681934038,0.5726397551073718
1e-05,1,182.4264533519745,1.8200176122714564,2,0.1962720420349601,0.23338285176141146,,,,,0.19677505679820223,0.17103043637697102,,,,
1e-05,2,176.2599949836731,1.8320866136089293,2,0.19093082787310622,0.23270179716850864,,,,,0.15661294186222946,0.17103043637697102,,,,
1e-05,3,174.98024153709412,1.8434991535651053,2,0.1847943294722854,0.23321707941502337,,,,,0.15500400439557824,0.17103043637697102,,,,
1e-05,4,175.25979328155518,1.8527051108770343,2,0.18333539888520967,0.23325866626733305,,,,,0.1557250355660726,0.17103043637697102,,,,
1e-05,5,175.03077864646912,1.8619110681889637,2,0.18269040801526865,0.2335711765642546,,,,,0.15905121248280962,0.17103043637697102,,,,
1e-05,6,174.6836416721344,1.8711170255008926,2,0.18302369903613172,0.23235310674976076,,,,,0.16230511599307457,0.17103043637697102,,,,
1e-05,7,175.18361973762512,1.8803229828128216,2,0.1828472061006745,0.23369804020383048,,,,,0.160925803606671,0.17103043637697102,,,,
1e-05,8,174.9543538093567,1.889528940124751,2,0.18305361230880762,0.23378987553385705,,,,,0.16710354498988123,0.17103043637697102,,,,
1e-05,1,175.69060516357422,1.89873489743668,3,0.06855200074183063,,1083186.0,0.5640183704073981,,,11.232121706847625,,155724.0,0.5710451045104511,,
1e-05,2,177.2358798980713,1.907940854748609,3,0.02174068273521088,,1083037.0,0.5639419602223615,,,8.281290984455685,,155724.0,0.5710451045104511,,
1e-05,3,175.43382859230042,1.917146812060538,3,0.015786157892093308,,1083238.0,0.5642934389644704,,,7.184522849016632,,155724.0,0.5710451045104511,,
1e-05,4,175.98011946678162,1.9263527693724674,3,0.013105593347684606,,1084117.0,0.563756940898232,,,6.564216332625437,,155724.0,0.5710451045104511,,
1e-05,5,175.69745469093323,1.9355587266843963,3,0.011694025349465847,,1082037.0,0.5644929388626013,,,6.119784187958847,,155724.0,0.5710451045104511,,
1e-05,6,158.8435218334198,1.944724685141901,3,0.010711872122905725,,1083800.0,0.5642111663626445,,,5.942693267583735,,155724.0,0.5710451045104511,,
1e-05,7,149.746013879776,1.9523418952580436,3,0.010111347884406522,,1084185.0,0.5642758775751103,,,5.738689011357739,,155724.0,0.5710451045104511,,
1e-05,8,149.08692240715027,1.959959105374186,3,0.00974292541441059,,1083547.0,0.5644544069813235,,,5.664153521101202,,155724.0,0.5710451045104511,,
1e-05,9,148.53836035728455,1.9675763154903285,3,0.00953070378756303,,1085217.0,0.5648053502654314,,,5.575997190057225,,155724.0,0.5710451045104511,,
1e-05,10,149.72822976112366,1.975193525606471,3,0.009223543786231733,,1083710.0,0.5645622586032827,,,5.549588162319186,,155724.0,0.5710451045104511,,
1e-05,11,149.37511777877808,1.982810735722614,3,0.009096756256705632,,1085735.0,0.5646740837669105,,,5.550003173986474,,155724.0,0.5710451045104511,,
1e-05,12,148.4652955532074,1.9904279458387564,3,0.008984928480164509,,1083385.0,0.5645864818385533,,,5.497700062187259,,155724.0,0.5710451045104511,,
