metric,value
classification_precision,0.4305141275637834
classification_recall,0.7254052566965359
classification_f1,0.5388894194149465
classification_accuracy,0.7016112531969053
classification_precision_arrival,0.44132110091739074
classification_recall_arrival,0.6658269547523543
classification_f1_arrival,0.5308115396724801
classification_accuracy_arrival,0.6892985020094743
classification_precision_departure,0.41970715421017596
classification_recall_departure,0.7849835586407173
classification_f1_departure,0.5469672991574129
classification_accuracy_departure,0.7139240043843363
regression_mae_delayed,8.40809932847035
regression_rmse_delayed,10.878209810036614
regression_mae_nondelayed,5.023293290268164
regression_rmse_nondelayed,6.442572170278505
regression_mae_overall,5.8423557539625355
regression_rmse_overall,7.752284124348005
regression_mae_delayed_arrival,8.533667148121515
regression_rmse_delayed_arrival,11.046929572575287
num_delayed_samples_arrival,72247
regression_mae_delayed_departure,8.257438381409232
regression_rmse_delayed_departure,10.67225400535896
num_delayed_samples_departure,60214
regression_mae_nondelayed_arrival,5.259258174824533
regression_rmse_nondelayed_arrival,6.387115546219023
num_nondelayed_samples_arrival,201453
regression_mae_nondelayed_departure,4.800628413468122
regression_rmse_nondelayed_departure,6.4944687695950725
num_nondelayed_samples_departure,213486
regression_mae_overall_arrival,6.123584901509907
regression_rmse_overall_arrival,7.889204007993867
regression_mae_overall_departure,5.561126606415162
regression_rmse_overall_departure,7.612902101662004
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,2.0
final_epsilon,1.9904279458387564
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,5662.406593322754
stage2_time_seconds,1409.0884947776794
stage3_time_seconds,1934.2224621772766
total_training_time_seconds,9005.71755027771
total_training_time_minutes,150.0952925046285
train_samples,19207
val_samples,2727
test_samples,5474
