delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,2659.390453338623,0.03039890662172485,1,0.5027453336586766,,,,0.9512632266729413,0.0028284315159213943,,,,,0.3099439775650724,0.0014207391862500287
1e-05,2,2707.7045793533325,0.03962580163172995,1,0.7303786682274087,,,,0.9513240285314817,0.0006616458908117583,,,,,0.3958333331325231,0.00033112089617155175
1e-05,3,1936.799043416977,0.04719320969008713,1,0.7679672959380092,,,,0.9512822839718869,7.509331501859935e-05,,,,,0.038183694511603784,3.759432238360632e-05
1e-05,4,1939.8264849185944,0.053383969120199784,1,0.8266161069835019,,,,0.9513203985697778,0.0004897559171126362,,,,,0.11538461536242603,0.0002453987730060346
1e-05,5,1935.2359178066254,0.05911742742020161,1,0.8712110557356635,,,,0.9513385483782972,0.0,,,,,0.0,0.0
1e-05,6,1941.9182441234589,0.06421997002917815,1,0.8713181994754984,,,,0.9513203985697778,6.853539236891483e-05,,,,,0.05555555552469135,3.428884926620687e-05
1e-05,1,977.4976904392242,0.06896970574244371,2,0.3264610685020005,0.22487961962204683,,,,,0.34684833471374826,0.04865419169827758,,,,
1e-05,2,972.3081238269806,0.0734791958362446,2,0.34851743619453907,0.22465937614132547,,,,,0.39717196589012627,0.04865419169827758,,,,
1e-05,3,971.9060316085815,0.07766649093454984,2,0.3355937361602247,0.22493127450468822,,,,,0.3472395470125209,0.04865419169827758,,,,
1e-05,4,972.7703104019165,0.08165427832182406,2,0.34183127354995446,0.22444456164325835,,,,,0.3820618556064533,0.04865419169827758,,,,
1e-05,5,972.8706910610199,0.08551182346031823,2,0.3419108968337281,0.22499893973999321,,,,,0.3423344630727621,0.04865419169827758,,,,
1e-05,6,971.155987739563,0.08918996644597237,2,0.34960230788213587,0.22450823962372476,,,,,0.3605385218916817,0.04865419169827758,,,,
1e-05,7,975.9951138496399,0.09269553635977991,2,0.34626907247200106,0.22462038790279593,,,,,0.43198504442641406,0.04865419169827758,,,,
1e-05,8,972.3352437019348,0.09610846388519559,2,0.36475429255546793,0.2246312464999942,,,,,0.39548944773535644,0.04865419169827758,,,,
1e-05,1,972.3089778423309,0.09942925299904985,3,0.08418721911887961,,3867751.0,0.4998484074641942,,,5.6801191215038855,,567979.0,0.5154355046554259,,
1e-05,2,972.1835436820984,0.102637805156568,3,0.051404453804160394,,3867986.0,0.49992232306007334,,,4.364340514893039,,567979.0,0.5154355046554259,,
1e-05,3,973.3384234905243,0.10573382631050672,3,0.04263413842627703,,3868361.0,0.5002138770793856,,,3.8139516212937448,,567979.0,0.5154355046554259,,
1e-05,4,973.9439034461975,0.10875694618116137,3,0.03802666150670784,,3869709.0,0.5001662176034006,,,3.573493564004267,,567979.0,0.5154355046554259,,
1e-05,5,972.0730717182159,0.11172098261457328,3,0.03510404324921614,,3868460.0,0.5000780794321195,,,3.452646193604021,,567979.0,0.5154355046554259,,
1e-05,6,975.5301387310028,0.11461510919639786,3,0.03322497267039432,,3865027.0,0.49993054053690483,,,3.358437749296946,,567979.0,0.5154355046554259,,
1e-05,7,971.512170791626,0.11743264041043815,3,0.03203139321486063,,3866855.0,0.4999061428836267,,,3.395893166064524,,567979.0,0.5154355046554259,,
1e-05,8,973.657598733902,0.12017820738762276,3,0.03111005267252023,,3870936.0,0.49990469238887364,,,3.382200257224004,,567979.0,0.5154355046554259,,
1e-05,9,972.4592521190643,0.12287615109011166,3,0.030358929425927283,,3867249.0,0.5000606447742049,,,3.3883630342461366,,567979.0,0.5154355046554259,,
1e-05,10,973.2936036586761,0.12553027966250113,3,0.029848249433049263,,3869324.0,0.5002233945841292,,,3.4766588829306326,,567979.0,0.5154355046554259,,
1e-05,11,973.1395106315613,0.1281355351461406,3,0.029472954472091487,,3869584.0,0.4999780347794718,,,3.375216954643649,,567979.0,0.5154355046554259,,
