metric,value
classification_precision,0.44367262209337466
classification_recall,0.014625977065299542
classification_f1,0.02827642200132642
classification_accuracy,0.8159954142159231
regression_mae_delayed,12.310812756096317
regression_rmse_delayed,14.577960783877138
regression_mae_nondelayed,1.8970194799382138
regression_rmse_nondelayed,2.2476464501101994
regression_mae_overall,3.0340239266208626
regression_rmse_overall,6.378190321395759
num_delayed_samples,404599
num_nondelayed_samples,191834
target_epsilon,15.0
final_epsilon,0.1281355351461406
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,13124.56464791298
stage2_time_seconds,7795.1648688316345
stage3_time_seconds,10717.942212581635
total_training_time_seconds,31637.671729326248
total_training_time_minutes,527.2945288221041
train_samples,55218
val_samples,7871
test_samples,15763
