delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,2536.1786212921143,0.9201277285834492,1,0.3746225290133921,,,,0.9474127447955252,0.023923657589230526,,,,,0.13364573683457462,0.013224916058928674
1e-05,2,2249.6537551879883,0.9305081828040882,1,0.4016820740734508,,,,0.9507886091801558,0.010592240117544543,,,,,0.25882633950213996,0.0054108940091680165
1e-05,3,1961.0606656074524,0.9367569558141464,1,0.39811156585111357,,,,0.9491242717389159,0.01810898019666624,,,,,0.15852171912447235,0.009651384077460887
1e-05,4,1960.4974782466888,0.9426542558625183,1,0.4260490226675336,,,,0.9467865764016017,0.02728654286117855,,,,,0.12680774098520936,0.015314507983756605
1e-05,5,1964.2362112998962,0.9459389509447803,1,0.5276316280700073,,,,0.9512559667495335,0.0024599911307430695,,,,,0.2778055277796688,0.0012360730474493967
1e-05,6,3186.2546310424805,0.9492236460270426,1,0.5095415487611602,,,,0.9504891373395838,0.012639201809226293,,,,,0.2133808338859014,0.006512500073623879
1e-05,7,3402.668837070465,0.9525083411093048,1,0.49441741837564435,,,,0.9510790061164682,0.007840512775797465,,,,,0.2895079830478923,0.003978607404314339
1e-05,8,3432.3985302448273,0.9557930361915669,1,0.4712327914215948,,,,0.9475298110604762,0.025401486085599816,,,,,0.13338755599307855,0.014041060791810472
1e-05,9,3445.343827009201,0.9590777312738291,1,0.4685622618526608,,,,0.9508766357514755,0.00993354966505111,,,,,0.2543489327612155,0.005066154339367629
1e-05,1,1172.163327217102,0.9615009996720847,2,0.29439715322159016,0.22485640882348376,,,,,0.36701720807450267,0.04865419169827758,,,,
1e-05,2,1331.2467722892761,0.9635216310665558,2,0.29429870195301666,0.22478905436971636,,,,,0.3747012940553218,0.04865419169827758,,,,
1e-05,3,1173.995975971222,0.9655422624610268,2,0.29943045195349144,0.22472705323434133,,,,,0.35109153108208646,0.04865419169827758,,,,
1e-05,4,1163.1975910663605,0.9675628938554979,2,0.2958308375487818,0.22460552185361995,,,,,0.3994512454255345,0.04865419169827758,,,,
1e-05,5,1142.2624351978302,0.9695835252499692,2,0.29735487226251106,0.22473137996189949,,,,,0.3862225407423498,0.04865419169827758,,,,
1e-05,6,1127.0309665203094,0.9716041566444402,2,0.3000576279340179,0.22487799582290782,,,,,0.3628456124201226,0.04865419169827758,,,,
1e-05,7,1129.1115055084229,0.9736247880389113,2,0.29674732581510815,0.22475127902024558,,,,,0.4101345931718913,0.04865419169827758,,,,
1e-05,8,1129.1635930538177,0.9756454194333823,2,0.2984030992310817,0.22469495957473035,,,,,0.37844462029294973,0.04865419169827758,,,,
1e-05,1,1127.3913056850433,0.9776660508278536,3,0.053921402043821766,,3871058.0,0.5001488408245575,,,3.826521530044757,,567979.0,0.5154355046554259,,
1e-05,2,1050.725636959076,0.9796866822223247,3,0.03467182263689519,,3870069.0,0.5000516840070818,,,3.5745006536669015,,567979.0,0.5154355046554259,,
1e-05,3,1007.8377733230591,0.9817073136167958,3,0.030685758731557815,,3865269.0,0.4998614969195673,,,3.43262975172991,,567979.0,0.5154355046554259,,
1e-05,4,1008.3866105079651,0.9837279450112668,3,0.0287845741556054,,3867513.0,0.49969404743970164,,,3.3364934517860276,,567979.0,0.5154355046554259,,
1e-05,5,1007.5614533424377,0.9856424245672413,3,0.02751172567821143,,3870669.0,0.49986220651408053,,,3.347236075879666,,567979.0,0.5154355046554259,,
1e-05,6,1003.1881868839264,0.987109897895134,3,0.026821819830428143,,3872451.0,0.5000179479339475,,,3.3619900729926897,,567979.0,0.5154355046554259,,
1e-05,7,1001.3607161045074,0.9885773712230268,3,0.026289994172557233,,3865987.0,0.4998555766796031,,,3.350795672158954,,567979.0,0.5154355046554259,,
1e-05,8,1004.3412690162659,0.9900448445509193,3,0.02584679687622254,,3869670.0,0.5001062331732857,,,3.3389809652695672,,567979.0,0.5154355046554259,,
1e-05,9,1004.4940156936646,0.9915123178788121,3,0.025514389440786402,,3864140.0,0.499910474763198,,,3.3611340493275312,,567979.0,0.5154355046554259,,
