delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,2203.833564043045,10.732525687735867,1,0.2836086563485961,,,,0.8370737063723825,0.09707558504260527,,,,,0.06860070328114021,0.17733458820698267
1e-05,2,2636.145894050598,12.071636849868991,1,0.2705922542020778,,,,0.9095867288599939,0.0792986274042801,,,,,0.07859352076719192,0.08001764227906047
1e-05,3,2025.0776674747467,13.044139722878318,1,0.2701745619396897,,,,0.9093671161769078,0.07968431443766968,,,,,0.07883997976606683,0.08055198456003035
1e-05,4,1977.0703389644623,13.911076181212483,1,0.268680238149263,,,,0.9056618327676478,0.07849638001299869,,,,,0.07859770623235428,0.08178184634721855
1e-05,5,2045.2398300170898,14.555906721751537,1,0.268863619639115,,,,0.9397934551790308,0.04707971221480377,,,,,0.10245636506877222,0.03056193603957438
1e-05,6,2205.9135897159576,15.200737262290595,1,0.26980355532620487,,,,0.8845626803637061,0.08340863971805401,,,,,0.08055739284000588,0.10937414646004702
1e-05,1,1170.3527371883392,15.845567802829649,2,0.2622435742303698,0.22464804727966473,,,,,0.3447206407714642,0.04865419169827758,,,,
1e-05,2,1161.748867034912,16.490398343368703,2,0.2590512075853844,0.2247017740521148,,,,,0.34829230271858846,0.04865419169827758,,,,
1e-05,3,1168.0061526298523,16.951796166680776,2,0.26025081353168494,0.2247401928924614,,,,,0.3457586501300362,0.04865419169827758,,,,
1e-05,4,1169.5796699523926,17.408052042548775,2,0.2588190364613416,0.22454270482679214,,,,,0.34098458654063274,0.04865419169827758,,,,
1e-05,5,1171.9027609825134,17.86430791841677,2,0.25983541222302714,0.22484305078896905,,,,,0.3472297367543076,0.04865419169827758,,,,
1e-05,6,1212.3126227855682,18.320563794284766,2,0.25888477952688677,0.22491124821972736,,,,,0.3453460553195691,0.04865419169827758,,,,
1e-05,7,1162.4086999893188,18.77681967015276,2,0.2587905394100103,0.22508990919733526,,,,,0.3492026551675112,0.04865419169827758,,,,
1e-05,8,1164.202248096466,19.233075546020757,2,0.2587568583914068,0.2249124005103465,,,,,0.3460187127160027,0.04865419169827758,,,,
1e-05,1,1167.2264399528503,19.689331421888756,3,0.040314534641058414,,3868794.0,0.5003840060013063,,,3.7118037088269,,567979.0,0.5154355046554259,,
1e-05,2,1161.5246760845184,20.14558729775675,3,0.02515875717197743,,3873448.0,0.5003359729795572,,,3.4570076501916374,,567979.0,0.5154355046554259,,
1e-05,3,1162.1868686676025,20.578668327246845,3,0.024419812865081065,,3867497.0,0.5001009900908161,,,3.397440151366623,,567979.0,0.5154355046554259,,
1e-05,4,1183.3812329769135,20.918490415622088,3,0.024086654479459485,,3865843.0,0.5001155254272371,,,3.33868575786672,,567979.0,0.5154355046554259,,
1e-05,5,1327.4302883148193,21.258312503997328,3,0.0239071610461441,,3865945.0,0.4997468912741607,,,3.293321581754258,,567979.0,0.5154355046554259,,
1e-05,6,1163.7652583122253,21.598134592372567,3,0.023703946011710834,,3867048.0,0.5000764265579574,,,3.2957728628359053,,567979.0,0.5154355046554259,,
1e-05,7,1165.6531398296356,21.93795668074781,3,0.023661949313333458,,3868937.0,0.49977497488166805,,,3.290897460221275,,567979.0,0.5154355046554259,,
1e-05,8,1128.243012189865,22.277778769123053,3,0.023608219401611306,,3869296.0,0.5003072212510215,,,3.306508389703765,,567979.0,0.5154355046554259,,
1e-05,9,1124.5381817817688,22.617600857498292,3,0.023575812153482176,,3867134.0,0.5000124126010658,,,3.2817263749937564,,567979.0,0.5154355046554259,,
1e-05,10,1124.324408531189,22.95742294587353,3,0.02352730647160881,,3869116.0,0.49996110525177306,,,3.2758355360655558,,567979.0,0.5154355046554259,,
1e-05,11,1124.2694931030273,23.297245034248775,3,0.023464091214335844,,3867342.0,0.49987216709221627,,,3.250698670287996,,567979.0,0.5154355046554259,,
1e-05,12,1125.1956086158752,23.637067122624014,3,0.023439561113052447,,3870643.0,0.5000085258606146,,,3.274133723659244,,567979.0,0.5154355046554259,,
