metric,value
classification_precision,0.2730947079840496
classification_recall,0.605094016981577
classification_f1,0.37631049344095807
classification_accuracy,0.6364397640043081
classification_precision_arrival,0.2443213607853255
classification_recall_arrival,0.5525044495295877
classification_f1_arrival,0.3388159256577987
classification_accuracy_arrival,0.6771798334254658
classification_precision_departure,0.30186805518277376
classification_recall_departure,0.6576835844335663
classification_f1_departure,0.4138050612241174
classification_accuracy_departure,0.5956996945831504
regression_mae_delayed,8.070245385186748
regression_rmse_delayed,11.013297493942671
regression_mae_nondelayed,4.577051641454552
regression_rmse_nondelayed,5.030176079509266
regression_mae_overall,5.217494765733063
regression_rmse_overall,6.549924750183185
regression_mae_delayed_arrival,8.77873971116872
regression_rmse_delayed_arrival,11.687342706438402
num_delayed_samples_arrival,165186
regression_mae_delayed_departure,7.581410845159024
regression_rmse_delayed_departure,10.523090185961431
num_delayed_samples_departure,239413
regression_mae_nondelayed_arrival,4.239421147357541
regression_rmse_nondelayed_arrival,4.843332648028802
num_nondelayed_samples_arrival,938224
regression_mae_nondelayed_departure,4.94368836900531
regression_rmse_nondelayed_departure,5.225510559258382
num_nondelayed_samples_departure,863997
regression_mae_overall_arrival,4.918979857430598
regression_rmse_overall_arrival,6.355699242199718
regression_mae_overall_departure,5.5160096740355264
regression_rmse_overall_departure,6.7385544153643515
num_delayed_samples,404599
num_nondelayed_samples,1802221
target_epsilon,25.0
final_epsilon,23.637067122624014
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,13093.610170125961
stage2_time_seconds,9380.905045986176
stage3_time_seconds,13958.359100580215
total_training_time_seconds,36432.87431669235
total_training_time_minutes,607.2145719448725
train_samples,55218
val_samples,7871
test_samples,15763
