metric,value
classification_precision,0.2782463912327059
classification_recall,0.5835531670105091
classification_f1,0.37635616709042524
classification_accuracy,0.6496556130540718
classification_precision_arrival,0.2473836241896557
classification_recall_arrival,0.5625234584044312
classification_f1_arrival,0.34364211180338844
classification_accuracy_arrival,0.6783072475326426
classification_precision_departure,0.309109158275756
classification_recall_departure,0.604582875616587
classification_f1_departure,0.40907022237746204
classification_accuracy_departure,0.6210039785755012
regression_mae_delayed,8.271643701710108
regression_rmse_delayed,11.180336186184327
regression_mae_nondelayed,4.180985738976138
regression_rmse_nondelayed,4.853292512571597
regression_mae_overall,4.93096812134724
regression_rmse_overall,6.492571837056828
regression_mae_delayed_arrival,8.849572045269642
regression_rmse_delayed_arrival,11.759843580961117
num_delayed_samples_arrival,165186
regression_mae_delayed_departure,7.872894797685577
regression_rmse_delayed_departure,10.762320971196067
num_delayed_samples_departure,239413
regression_mae_nondelayed_arrival,3.898791374563551
regression_rmse_nondelayed_arrival,4.799099004619737
num_nondelayed_samples_arrival,938224
regression_mae_nondelayed_departure,4.487423753641279
regression_rmse_nondelayed_departure,4.9114646537184425
num_nondelayed_samples_departure,863997
regression_mae_overall_arrival,4.639948021568069
regression_rmse_overall_arrival,6.347183224744015
regression_mae_overall_departure,5.221988221126416
regression_rmse_overall_departure,6.634775296135894
num_delayed_samples,404599
num_nondelayed_samples,1802221
target_epsilon,15.0
final_epsilon,14.99418406852674
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,20932.021298646927
stage2_time_seconds,9770.675171136856
stage3_time_seconds,11956.317930936813
total_training_time_seconds,42659.014400720596
total_training_time_minutes,710.9835733453433
train_samples,55218
val_samples,7871
test_samples,15763
