metric,value
classification_precision,0.2777027465031112
classification_recall,0.5906004061272303
classification_f1,0.376482775941559
classification_accuracy,0.6446221259549882
classification_precision_arrival,0.2610470740625273
classification_recall_arrival,0.481911299989074
classification_f1_arrival,0.3386502865309323
classification_accuracy_arrival,0.7182180694392771
classification_precision_departure,0.2943584189436951
classification_recall_departure,0.6992895122653866
classification_f1_departure,0.4143152653521857
classification_accuracy_departure,0.5710261824706993
regression_mae_delayed,8.060418308425795
regression_rmse_delayed,11.024225868103104
regression_mae_nondelayed,4.545577439671218
regression_rmse_nondelayed,5.025469496901532
regression_mae_overall,5.189989353944811
regression_rmse_overall,6.550344892729714
regression_mae_delayed_arrival,8.963932248250416
regression_rmse_delayed_arrival,11.897949492494089
num_delayed_samples_arrival,165186
regression_mae_delayed_departure,7.437027541575754
regression_rmse_delayed_departure,10.378594824269973
num_delayed_samples_departure,239413
regression_mae_nondelayed_arrival,3.9168448134726273
regression_rmse_nondelayed_arrival,4.592637133895513
num_nondelayed_samples_arrival,938224
regression_mae_nondelayed_departure,5.228325226391026
regression_rmse_nondelayed_departure,5.456740978714008
num_nondelayed_samples_departure,863997
regression_mae_overall_arrival,4.672419065111822
regression_rmse_overall_arrival,6.255166753503998
regression_mae_overall_departure,5.707559642777793
regression_rmse_overall_departure,6.832783130853698
num_delayed_samples,404599
num_nondelayed_samples,1802221
target_epsilon,18.0
final_epsilon,17.329059815693384
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,20923.854963064194
stage2_time_seconds,6813.133745908737
stage3_time_seconds,11699.12105345726
total_training_time_seconds,39436.10976243019
total_training_time_minutes,657.2684960405032
train_samples,55218
val_samples,7871
test_samples,15763
