metric,value
classification_precision,0.2796813774224419
classification_recall,0.6083812444560373
classification_f1,0.38207263615314957
classification_accuracy,0.643981838120004
classification_precision_arrival,0.24223210956968186
classification_recall_arrival,0.5978654365381691
classification_f1_arrival,0.34477473450201845
classification_accuracy_arrival,0.6598073245665649
classification_precision_departure,0.317130645275202
classification_recall_departure,0.6188970523739054
classification_f1_departure,0.41937053780428074
classification_accuracy_departure,0.628156351673443
regression_mae_delayed,7.375398602070119
regression_rmse_delayed,10.350186028590736
regression_mae_nondelayed,5.781950436384247
regression_rmse_nondelayed,5.99444783936686
regression_mae_overall,6.074093671622428
regression_rmse_overall,6.99899561690252
regression_mae_delayed_arrival,7.680322821097476
regression_rmse_delayed_arrival,10.669615146705592
num_delayed_samples_arrival,165186
regression_mae_delayed_departure,7.165012315426313
regression_rmse_delayed_departure,10.123917728276329
num_delayed_samples_departure,239413
regression_mae_nondelayed_arrival,5.999358229156609
regression_rmse_nondelayed_arrival,6.215394274854408
num_nondelayed_samples_arrival,938224
regression_mae_nondelayed_departure,5.5458648840431355
regression_rmse_nondelayed_departure,5.744903777179765
num_nondelayed_samples_departure,863997
regression_mae_overall_arrival,6.251007042457508
regression_rmse_overall_arrival,7.063311814218554
regression_mae_overall_departure,5.897180300787356
regression_rmse_overall_departure,6.934082888599031
num_delayed_samples,404599
num_nondelayed_samples,1802221
target_epsilon,18.0
final_epsilon,0.0
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,0.0
stage1_time_seconds,3502.6658358573914
stage2_time_seconds,2726.7864186763763
stage3_time_seconds,3349.926614522934
total_training_time_seconds,9579.378869056702
total_training_time_minutes,159.65631448427837
train_samples,55218
val_samples,7871
test_samples,15763
