metric,value
classification_precision,0.3314834209293651
classification_recall,0.7243040652662882
classification_f1,0.45180477464116975
classification_accuracy,0.5780946291559891
regression_mae_delayed,8.143683124766396
regression_rmse_delayed,10.471950597780367
regression_mae_nondelayed,6.734252634649094
regression_rmse_nondelayed,7.497833406452566
regression_mae_overall,7.984278953688382
regression_rmse_overall,9.158694185649217
num_delayed_samples,132461
num_nondelayed_samples,257013
target_epsilon,15.0
final_epsilon,96.87769366148733
epsilon_exceeded,True
epsilon_overshoot,81.87769366148733
final_delta,1e-05
stage1_time_seconds,3701.6031239032745
stage2_time_seconds,1430.9205429553986
stage3_time_seconds,853.1413440704346
total_training_time_seconds,5985.665010929108
total_training_time_minutes,99.76108351548513
train_samples,19207
val_samples,2727
test_samples,5474
