family,source,best_model,primary_metric,secondary_metrics,notes
Classification benchmark,classification_benchmark_20260218_162500/classification_results_20260218_162500.csv,CNN_Opacus,F1=0.3447,"Accuracy=0.9297, Precision=0.5674, Recall=0.2475, ROC_AUC=0.8841",Best within this benchmark; majority-class accuracy is misleadingly high.
Classification compare,classification_compare_20260219_230517/classification_summary.csv,CNN,F1=0.5950,"Accuracy=0.7378, Precision=0.4749, Recall=0.7988",STPN row has F1=0.0 in this comparison.
Regression benchmark,benchmark_20260218_160554/results_20260218_160554.csv,GRU,MAE=2.8352,"RMSE=4.0147, R2=0.6022",Metrics are on this experiment’s scale and should not be mixed with other regression tables.
Regression benchmark (STPN set),stpn_benchmark_20260215_161854/results_20260215_161854.csv,LSTM,MAE=0.3441,"RMSE=0.4143, R2=-7.8644",Different scaling/setup from the other regression benchmark.
Three-stage compare,comparison_plots_20260220/combined_results_table.csv,Attn-LSTM,Clf F1=0.5392,"Clf Acc=0.6466, Reg MAE overall=7.6732, Reg RMSE overall=10.0631",Best classification F1 in this combined table; GRU had the best classification F1 among the non-attention baselines.
TSiT benchmark,tsai_benchmark_20260225_112716/tsai_classification_summary.csv,TSiTPlus,F1=0.5986,"Accuracy=0.7348, Precision=0.4719, Recall=0.8187",TSSequencerPlus had the best accuracy at 0.7417.
Stacked GRU + transformer,stacked_gru_transformer_20260301_194354/stacked_gru_transformer_summary 1.csv,GRUAttn->TSiTPlus,F1=0.5939,"Accuracy=0.7310, Precision=0.4677, Recall=0.8158",Comparable to the best TSiT benchmark models.
Stacked GRU + transformer,stacked_gru_transformer_20260302_154806/stacked_gru_transformer_summary.csv,GRUAttn->ConvTranPlus,F1=0.5916,"Accuracy=0.7323, Precision=0.4685, Recall=0.8037",Near-duplicate run with a different transformer head.
Hybrid graph + TSiT,hybrid_graph_tsai_20260301_143524/Hybrid_GRU_metrics.csv,Hybrid-GRU,F1=0.5865,"Accuracy=0.7175, Precision=0.4539, Recall=0.8310",This hybrid GRU variant beats the Hybrid-TSiTPlus run below.
Hybrid graph + TSiT,hybrid_graph_tsai_20260301_143650/hybrid_graph_tsai_summary.csv,Hybrid-TSiTPlus,F1=0.5180,"Accuracy=0.6829, Precision=0.4104, Recall=0.7067",Weaker than the Hybrid-GRU run in the sibling folder.
LR tuning campaign,lr_tuning_results/lr_tuning_results_20260123_185158.csv + summary txt,"stage1=0.01, stage2=0.0003, stage3=0.0001",MAE=4.5825,"RMSE=7.2264, stage1 best F1 reported as 0.0 in summary",Best MAE came from the decreasing LR schedule; classification F1 remained degenerate in the summary.
Stage 1 loss tuning,stage1_huber_tune_results.json / stage1_focal_tune_results.json / stage1_loss_tune_results.json,Huber (best delta varies by file),F1 ranges 0.0198 to 0.0488,Accuracy ranges 0.01 to 0.025 with recall ~1.0,All variants are highly imbalanced; Huber variants were best in each file.
Stage 3 auxiliary tuning,tune_stage3_results.json,"delta=3.5, aux_weight=0.2, aux_start_epoch=1",val_loss=7.3532,time_s=71.27,Best of 18 tested combinations.
DP three-stage KAN-GAT,kan_gat_dp_three_stage_summary_sigma0_30_20260122_100749.csv,sigma=0.30,F1=0.0000,"MAE overall=5.7812, epsilon=1112.91",Severely over target privacy budget.
DP three-stage KAN-GAT,kan_gat_dp_three_stage_summary_sigma1_00_20260122_100152.csv,sigma=1.00,F1=0.5504,"MAE overall=6.3215, epsilon=101.33",Still above target privacy budget.
DP three-stage KAN-GAT,kan_gat_dp_three_stage_summary_sigma2_00_20260122_100152.csv,sigma=2.00,F1=0.5301,"MAE overall=6.5194, epsilon=26.29",Closer to the target privacy budget but still exceeded it.
DP three-stage KAN-GAT,kan_gat_dp_three_stage_summary_sigma5_00_20260122_070650.csv,sigma=5.00,F1=0.5523,"MAE overall=6.0002, epsilon=4.68",Best privacy-feasible run in this four-run set.
DP sweep representative run,results/three_stage_test_summary_eps26_44_20260108_135636.csv,epsilon=26.44,F1=0.4803,"MAE overall=5.4855, RMSE overall=7.8698",Representative row from the larger epsilon sweep.
