metric,value
classification_precision,0.975626863052822
classification_recall,0.6137892995029081
classification_f1,0.7535211220186755
classification_accuracy,0.7690794899443195
regression_mae_delayed,2.7178838
regression_rmse_delayed,3.4900932
num_delayed_samples,9065
target_epsilon,15.0
final_epsilon,4.6777668870502565
epsilon_exceeded,False
epsilon_overshoot,0
final_delta,1e-05
stage1_time_seconds,7179.551911354065
stage2_time_seconds,11155.65764427185
total_training_time_seconds,18335.209555625916
total_training_time_minutes,305.5868259270986
train_samples,55218
val_samples,7871
test_samples,15763
