delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,1494.5598194599152,1.1723049418726936,1,1726,0.4466479146121413,,,0.9702706136437933,0.10687022519287934,,,,0.20895522384940968,0.07179487179119
1e-05,1,1408.9217593669891,1.6747213455324192,1,3452,0.4356485856125004,,,0.9710329056016123,0.10236220114979243,,,,0.22033898301350185,0.06666666666324786
1e-05,2,1455.8158407211304,2.0674908400019523,1,5178,0.43489997296109534,,,0.9684919324088826,0.08823529005217363,,,,0.15584415582391636,0.06153846153530572
1e-05,3,1506.993004322052,2.401698809472423,1,6904,0.4345861125137411,,,0.9692542243667015,0.08333332946596667,,,,0.1594202898319681,0.05641025640736357
1e-05,4,1466.1320011615753,2.6998298182288716,1,8630,0.4348267559760692,,,0.9650616185986977,0.13793102972179927,,,,0.1774193548244017,0.11282051281472714
1e-05,5,1469.6872940063477,2.972375229561118,1,10356,0.4344056477103283,,,0.972303392197977,0.09166666361215288,,,,0.24444444439012344,0.05641025640736357
1e-05,6,1460.8033673763275,3.2252801305345273,1,12082,0.43453574852277616,,,0.9712870029208852,0.06611569934396573,,,,0.17021276592123133,0.041025641023537146
1e-05,7,1464.1143913269043,3.4626569753520355,1,13808,0.43446011620283403,,,0.974971414050343,0.0921658967869354,,,,0.45454545433884297,0.05128205127942143
1e-05,0,1210.6565794944763,3.6873206907837157,2,15534,0.08662081825161658,,,,,0.007395820005669889,,,,
1e-05,1,1210.0749416351318,3.9014061028630023,2,17260,0.08302302521503468,,,,,0.0036509424496999144,,,,
1e-05,2,1153.6645040512085,4.106366831253874,2,18986,0.08065876852708026,,,,,0.00499693266578845,,,,
1e-05,3,1206.6721997261047,4.303432261501048,2,20712,0.08560287950264758,,,,,0.005385255864903609,,,,
1e-05,4,1283.8657801151276,4.493656393409198,2,22438,0.08373729869947787,,,,,0.0036782704640651747,,,,
1e-05,5,1164.7302391529083,4.6777668870502565,2,24164,0.08244814093927243,,,,,0.0038150518866623393,,,,
1e-05,6,1162.7816791534424,4.8563696603574105,2,25890,0.08246595857541918,,,,,0.0043295262609325084,,,,
,0,619.9502522945404,4.8563696603574105,3,,0.020246446718108924,233566.0,0.7049814673958975,,,7.242363469407332,27218.0,0.576774740411104,,
,1,618.6376397609711,4.8563696603574105,3,,0.014692081215652191,233566.0,0.7049814673958975,,,6.395941496161698,27218.0,0.576774740411104,,
,2,684.4730653762817,4.8563696603574105,3,,0.013528470765812234,233566.0,0.7049814673958975,,,5.829651724436431,27218.0,0.576774740411104,,
,3,648.6639704704285,4.8563696603574105,3,,0.012858924711164118,233566.0,0.7049814673958975,,,5.310684783014848,27218.0,0.576774740411104,,
,4,652.3175988197327,4.8563696603574105,3,,0.012433422790615802,233566.0,0.7049814673958975,,,5.048014555308312,27218.0,0.576774740411104,,
,5,1029.192923784256,4.8563696603574105,3,,0.03029884985375066,233566.0,0.7049814673958975,,,5.990967426927688,27218.0,0.576774740411104,,
,6,1012.3405473232269,4.8563696603574105,3,,0.025593571415600536,233566.0,0.7049814673958975,,,6.15414621227084,27218.0,0.576774740411104,,
,7,971.9065766334534,4.8563696603574105,3,,0.024514079411748282,233566.0,0.7049814673958975,,,6.246765707250156,27218.0,0.576774740411104,,
,8,978.6702170372009,4.8563696603574105,3,,0.023808660677948217,233566.0,0.7049814673958975,,,6.285085707972654,27218.0,0.576774740411104,,
,9,979.2260663509369,4.8563696603574105,3,,0.02331283682825633,233566.0,0.7049814673958975,,,6.286550984077406,27218.0,0.576774740411104,,
