delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,1574.8103461265564,1.1723049418726936,1,1726,0.44904951637271934,,,0.9730656841557959,0.09401709123128066,,,,0.2820512819789612,0.05641025640736357
1e-05,1,1753.899083852768,1.6747213455324192,1,3452,0.43557105538880975,,,0.975225511369616,0.07582938247748255,,,,0.4999999996875,0.041025641023537146
1e-05,2,1756.7447800636292,2.0674908400019523,1,5178,0.4348864780171307,,,0.9758607546677984,0.08653846035826553,,,,0.6923076917751478,0.046153846151479286
1e-05,3,1733.1488029956818,2.401698809472423,1,6904,0.4350263052128972,,,0.972303392197977,0.06837606559244659,,,,0.20512820507560814,0.041025641023537146
1e-05,4,1646.7122611999512,2.6998298182288716,1,8630,0.4346420019001701,,,0.9584550882976007,0.09917354874120644,,,,0.10714285713647959,0.09230769230295857
1e-05,5,1572.2340989112854,2.972375229561118,1,10356,0.4343889499491087,,,0.9709058569419757,0.05761316554928975,,,,0.1458333333029514,0.035897435895595
1e-05,6,1516.8174290657043,3.2252801305345273,1,12082,0.43466490046104994,,,0.9668402998336084,0.07117437297146718,,,,0.11627906975392105,0.05128205127942143
1e-05,7,1585.6733417510986,3.4626569753520355,1,13808,0.4344241463019149,,,0.9709058569419757,0.12927756269600554,,,,0.24999999996323533,0.08717948717501643
1e-05,8,1626.012639760971,3.6873206907837157,1,15534,0.43393825490118315,,,0.9710329056016123,0.10236220114979243,,,,0.22033898301350185,0.06666666666324786
1e-05,9,1515.4184291362762,3.9014061028630023,1,17260,0.43432263002611116,,,0.97255748951725,0.060869562631758134,,,,0.19999999994285714,0.035897435895595
1e-05,10,1516.1444733142853,4.106366831253874,1,18986,0.43385679610634736,,,0.9698894676648839,0.07782100800617742,,,,0.16129032255463058,0.05128205127942143
1e-05,0,1167.6838917732239,4.303432261501048,2,20712,0.08862426795220803,,,,,0.0037267616887382473,,,,
1e-05,1,1167.3801205158234,4.493656393409198,2,22438,0.0911566895213699,,,,,0.004312037286437265,,,,
1e-05,2,1165.3386952877045,4.6777668870502565,2,24164,0.08829402051831521,,,,,0.00494836407022939,,,,
1e-05,3,1165.5644471645355,4.8563696603574105,2,25890,0.08763507432018343,,,,,0.004757840841158556,,,,
1e-05,4,1167.8566851615906,5.030167578133164,2,27616,0.0856400900806364,,,,,0.004528048642433109,,,,
1e-05,5,1167.997722864151,5.1993320761234365,2,29342,0.08366905433813224,,,,,0.004340975208243699,,,,
,0,615.7991704940796,5.1993320761234365,3,,0.020329331361331467,233566.0,0.7049814673958975,,,7.514670714981476,27218.0,0.576774740411104,,
,1,616.2879185676575,5.1993320761234365,3,,0.014371970825993724,233566.0,0.7049814673958975,,,6.287489235780917,27218.0,0.576774740411104,,
,2,615.2139685153961,5.1993320761234365,3,,0.013023529617495722,233566.0,0.7049814673958975,,,5.6444526509649835,27218.0,0.576774740411104,,
,3,614.6761138439178,5.1993320761234365,3,,0.01242582347062724,233566.0,0.7049814673958975,,,5.232666033046323,27218.0,0.576774740411104,,
,4,615.6906521320343,5.1993320761234365,3,,0.012076803343046807,233566.0,0.7049814673958975,,,5.002500048381877,27218.0,0.576774740411104,,
,5,613.7473149299622,5.1993320761234365,3,,0.011838649660737393,233566.0,0.7049814673958975,,,4.895050283119518,27218.0,0.576774740411104,,
,6,614.2915654182434,5.1993320761234365,3,,0.01166957069883341,233566.0,0.7049814673958975,,,4.713274865358797,27218.0,0.576774740411104,,
,7,955.0791170597076,5.1993320761234365,3,,0.029478498833817306,233566.0,0.7049814673958975,,,5.673885360288363,27218.0,0.576774740411104,,
,8,967.7840898036957,5.1993320761234365,3,,0.024995497622131126,233566.0,0.7049814673958975,,,5.919696266621368,27218.0,0.576774740411104,,
,9,958.8455131053925,5.1993320761234365,3,,0.02399001026208818,233566.0,0.7049814673958975,,,6.022987354581333,27218.0,0.576774740411104,,
,10,956.3225634098053,5.1993320761234365,3,,0.02333028986834223,233566.0,0.7049814673958975,,,6.02259865966615,27218.0,0.576774740411104,,
,11,970.048003911972,5.1993320761234365,3,,0.022860928192013834,233566.0,0.7049814673958975,,,5.974148758663339,27218.0,0.576774740411104,,
