metric,value
classification_precision,0.984581933186431
classification_recall,0.5494760066182576
classification_f1,0.7053242661460647
classification_accuracy,0.7359639662496124
regression_mae_delayed,2.4498754
regression_rmse_delayed,3.1935034
regression_mae_nondelayed,4.3145933
regression_rmse_nondelayed,5.538252
regression_mae_overall,3.2422297
regression_rmse_overall,4.3472013
num_delayed_samples,9065
num_nondelayed_samples,6698
target_epsilon,7.0
final_epsilon,4.8563696603574105
epsilon_exceeded,False
epsilon_overshoot,0
final_delta,1e-05
stage1_time_seconds,11727.139981031418
stage2_time_seconds,8392.481961250305
stage3_time_seconds,8195.44418144226
total_training_time_seconds,28315.066123723984
total_training_time_minutes,471.91776872873305
train_samples,55218
val_samples,7871
test_samples,15763
