metric,value
classification_precision,0.975317225793542
classification_recall,0.6189740761162504
classification_f1,0.7573221709809834
classification_accuracy,0.7718708367691607
regression_mae_delayed,2.3039918926692993
regression_rmse_delayed,3.0532712458655027
regression_mae_nondelayed,4.31231433380594
regression_rmse_nondelayed,5.534652527458546
regression_mae_overall,3.1573664857501353
regression_rmse_overall,4.286893372518055
num_delayed_samples,9065
num_nondelayed_samples,6698
target_epsilon,10.0
final_epsilon,5.1993320761234365
epsilon_exceeded,False
epsilon_overshoot,0
final_delta,1e-05
stage1_time_seconds,17797.706047296524
stage2_time_seconds,7001.841211080551
stage3_time_seconds,9113.871619462967
total_training_time_seconds,33913.41887784004
total_training_time_minutes,565.2236479640007
train_samples,55218
val_samples,7871
test_samples,15763
