epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse
1,0.4382782626702319,6.384967,9.394903,6.078926,9.093773
2,0.4334180349540548,6.297535,9.344127,6.1298575,9.134461
3,0.4331122101626784,6.2755337,9.338067,6.1313024,9.130277
4,0.43329762655984894,6.277015,9.344807,6.1445656,9.134398
5,0.4332090563173974,6.2822924,9.342394,6.1456976,9.177571
6,0.43383953701436184,6.2800384,9.347551,6.2668724,9.164531
7,0.4327017384943019,6.266832,9.337188,6.1200275,9.095029
8,0.4328004822555578,6.2755656,9.339854,6.1824303,9.19881
9,0.4329760609449319,6.2774177,9.342614,6.073373,9.093977
10,0.4331600684164733,6.270927,9.340358,6.17275,9.157039
11,0.43299006475066637,6.2677693,9.33429,6.1043496,9.112393
12,0.43333295200146554,6.280697,9.343828,6.1335344,9.14612
13,0.43302459365184914,6.275179,9.339712,6.1437945,9.107141
14,0.4327637336521048,6.2749276,9.331994,6.214394,9.164799
15,0.43323787555144117,6.283973,9.344216,6.230036,9.157821
16,0.43375499342637575,6.2795873,9.34679,6.165185,9.19476
17,0.43359739068621767,6.2812147,9.346395,6.0874653,9.136882
18,0.433222816709312,6.2821903,9.341246,6.1255136,9.14807
19,0.433162352446072,6.280204,9.339807,6.1582656,9.14969
20,0.43334161311677655,6.2816873,9.344116,6.130182,9.1196995
21,0.4338449983814374,6.2784033,9.347871,6.1941466,9.152646
22,0.4331093179497858,6.2695518,9.338212,6.190656,9.14246
23,0.4334137421644582,6.2792635,9.343945,6.165449,9.130333
24,0.4333934750565428,6.275459,9.342735,6.099401,9.144602
25,0.4340233471121878,6.2919908,9.350912,6.165236,9.181404
