epoch,training_loss,validation_loss,validation_mae,validation_r2,validation_rmse,epsilon
# Training Arguments,,,,,,
# device,cpu,,,,,
# data,US,,,,,
# train_val_ratio,"[0.7, 0.1]",,,,,
# h_layers,2,,,,,
# in_channels,2,,,,,
# hidden_channels,"[128, 64, 32]",,,,,
# out_channels,2,,,,,
# emb_size,16,,,,,
# dropout,0,,,,,
# wemb_size,4,,,,,
# time_d,4,,,,,
# heads,4,,,,,
# support_len,3,,,,,
# order,2,,,,,
# num_weather,8,,,,,
# use_se,FALSE,,,,,
# use_cov,TRUE,,,,,
# decay,1.00E-05,,,,,
# lr,0.0005,,,,,
# in_len,12,,,,,
# out_len,12,,,,,
# batch,32,,,,,
# episode,25,,,,,
# period,36,,,,,
# dp,FALSE,,,,,
# target_epsilon,1,,,,,
# target_delta,1.00E-05,,,,,
# noise_multiplier,1.5,,,,,
# max_grad_norm,1.5,,,,,
# use_simple_cnn,TRUE,,,,,
# use_enhanced_cnn,FALSE,,,,,
# Start of Training Data,,,,,,
epoch,training_loss,validation_loss,validation_mae,validation_r2,validation_rmse,epsilon
1,0.898931809,0.857767976,6.587304743,0.139496381,9.091860668,No DP
2,0.891164311,0.841416737,6.29107532,0.17304114,8.914576294,No DP
3,0.889567708,0.857847789,6.567851144,0.141391282,9.082977324,No DP
4,0.888888441,0.853148356,6.465286776,0.15109168,9.032306632,No DP
5,0.888127446,0.857246502,6.595766034,0.142283181,9.078113003,No DP
6,0.887613537,0.841792225,6.33270606,0.173467565,8.912173063,No DP
7,0.887270488,0.854402261,6.530797819,0.148862758,9.0432306,No DP
8,0.887230831,0.847694336,6.416872113,0.161252845,8.977491881,No DP
9,0.886920731,0.838811248,6.275990781,0.179050451,8.882236613,No DP
10,0.886790364,0.847075844,6.42489848,0.162428551,8.971152416,No DP
11,0.886740488,0.847644804,6.391495961,0.161657399,8.975314848,No DP
12,0.886509,0.842378268,6.361650696,0.172068604,8.919724751,No DP
13,0.886403659,0.857634162,6.583233065,0.142218526,9.077642263,No DP
14,0.886287238,0.839087632,6.256635528,0.178358053,8.885541663,No DP
15,0.886176246,0.856225022,6.58051488,0.144988601,9.062570557,No DP
16,0.886272994,0.836485362,6.214538743,0.182623684,8.863246787,No DP
17,0.886227141,0.852201173,6.533206111,0.15322195,9.019072325,No DP
18,0.886069554,0.851169798,6.460443709,0.154824235,9.011101268,No DP
19,0.886032817,0.844445559,6.353943755,0.167948041,8.941489711,No DP
20,0.88595256,0.860427375,6.65295312,0.137080247,9.104293338,No DP
21,0.885877301,0.850094452,6.457624131,0.157007203,9.000086853,No DP
22,0.88581768,0.847344398,6.389480301,0.162874968,8.968876999,No DP
23,0.885754895,0.85565082,6.555322146,0.146792391,9.052757442,No DP
24,0.885856443,0.844126714,6.361672671,0.16856222,8.938255256,No DP
25,0.885821913,0.861184253,6.608782399,0.136070753,9.110442292,No DP
,,,,,,
,,,,,,
,,,,,,
,Model input channels: 2,,,,,
,"Test data shape: (70, 15783, 2)",,,,,
,"3 step ahead arrival delay, Test MAE: 7.9465 min, Test R2: 0.2256, Test RMSE: 10.6388 min",,,,,
,"6 step ahead arrival delay, Test MAE: 8.1571 min, Test R2: 0.1884, Test RMSE: 10.8919 min",,,,,
,"12 step ahead arrival delay, Test MAE: 8.5151 min, Test R2: 0.1290, Test RMSE: 11.2865 min",,,,,
,"3 step ahead departure delay, Test MAE: 5.6771 min, Test R2: 0.2348, Test RMSE: 7.8231 min",,,,,
,"6 step ahead departure delay, Test MAE: 5.8993 min, Test R2: 0.1906, Test RMSE: 8.0468 min",,,,,
,"12 step ahead departure delay, Test MAE: 6.2005 min, Test R2: 0.1290, Test RMSE: 8.3497 min",,,,,
