epoch,,loss,mae,r2,rmse,
1,,0.903215408,22.16901223,-8.064682177,26.59251185,ep=15
2,,0.977287531,28.5974513,-17.35764343,37.84351702,
3,,585.6548462,44.60403766,-61.16258587,69.63821448,
4,,1.020121813,13.4265411,-2.217581633,15.84338159,
5,,77.20601654,7.693151926,-0.410698876,10.49059833,
6,,1.27608633,6.565384709,-0.142317266,9.440097031,
7,,0.9263376,12.43630176,-2.522130157,16.57623048,
8,,0.953613698,49.97644737,-45.058134,59.94262994,
9,,621.3259888,8.519635427,-0.554944219,11.01345259,
10,,1364.959351,6.729692685,-0.058479574,9.087079372,
11,,0.905278027,6.609625984,-0.078331803,9.171823804,
12,,0.930199087,6.438606702,-0.039714571,9.005787039,
13,,0.879483581,64.05499648,-64.2614304,71.35280381,
14,,0.90862,21.88004565,-9.317166136,28.37025334,
15,,0.92246449,6.992677571,-0.35075649,10.26518673,
16,,0.879561484,11.42408469,-1.820667735,14.83399602,
17,,0.892974675,32.12899048,-14.83101523,35.14288658,
18,,0.894014776,167.4726624,-436.6310121,184.7724141,
19,,0.883916438,453.7542799,-3662.789049,534.6238549,
20,,0.91516149,656.0008403,-7394.105942,759.5481301,
,,,,,,
,,,ep=8,,,
Epoch,,Loss,Val MAE,R2,RMSE,
1,,0.9464,6.8037,2 -0.2921 ,MSE 10.0399,
2,,1.4488,7.1223,2 -0.1914 ,MSE 9.6407,
3,,4.0104,7.2672,2 -0.2012 ,MSE 9.6804,
4,,2.9648,7.2985,2 -0.1794 ,MSE 9.5922,
5,,3.1005,7.3015,2 -0.1746 ,MSE 9.5726,
6,,1.0155,7.1307,2 -0.1406 ,MSE 9.4331,
7,,1.0123,7.0471,2 -0.1006 ,MSE 9.2661,
8,,0.8783,67.9193,2 -205.7153 ,MSE 126.9899,
9,,0.869,38.7094,2 -39.2984 ,MSE 56.0695,
10,,0.8866,38.3499,2 -34.4614 ,MSE 52.5968,
11,,0.8562,21.1029,2 -12.3417 ,MSE 32.2617,
12,,0.8899,57.0283,2 -89.3612 ,MSE 83.9603,
13,,0.8838,62.9574,2 -72.6179 ,MSE 75.7835,
14,,0.8499,255.3472,2 -1002.0405 ,MSE 279.7321,
15,,0.8701,186.1315,2 -572.6823 ,MSE 211.5528,
16,,0.8775,264.5161,2 -1179.1684 ,MSE 303.4276,
17,,0.8684,156.488,2 -436.3398 ,MSE 184.7109,
18,,0.86,178.2136,2 -586.1923 ,MSE 214.0293,
19,,0.8907,211.7378,2 -757.3143 ,MSE 243.2247,
20,,0.8657,299.5029,2 -1487.3863 ,MSE 340.7540,
21,,0.8456,297.6231,2 -1559.3860 ,MSE 348.8985,
22,,0.8697,301.9359,2 -1760.6081 ,MSE 370.7129,
23,,0.8526,396.5873,2 -3222.5564 ,MSE 501.4767,
24,,0.8567,461.7711,2 -4140.7238 ,MSE 568.4256,
25,,0.8985,390.9352,2 -3384.1052 ,MSE 513.8888,
26,,0.8523,137.2246,2 -584.2058 ,MSE 213.6669,
27,,0.8581,183.073,2 -1000.9514 ,MSE 279.5802,
28,,0.8573,219.4582,2 -1188.6293 ,MSE 304.6414,
29,,0.8598,205.7708,2 -1016.3320 ,MSE 281.7179,
30,,0.8677,184.389,2 -732.0412 ,MSE 239.1373,
31,,0.8743,154.2908,2 -490.1061 ,MSE 195.7360,
32,,0.8633,490.7573,2 -4795.1078 ,MSE 611.6846,
33,,0.8709,166.2131,2 -721.5751 ,MSE 237.4240,
34,,0.8677,280.0202,2 -1633.4913 ,MSE 357.0873,
35,,0.8879,444.4944,2 -3680.9783 ,MSE 535.9493,
36,,0.8783,269.4915,2 -1373.1028 ,MSE 327.4106,
37,,0.8276,144.0068,2 -403.3220 ,MSE 177.6015,
38,,0.8466,103.309,2 -237.5972 ,MSE 136.4318,
39,,0.875,102.9507,2 -208.8654 ,MSE 127.9539,
40,,0.8669,67.2377,2 -101.3971 ,MSE 89.3772,
41,,0.8478,63.0679,2 -81.3739 ,MSE 80.1635,
42,,0.8834,74.9222,2 -104.2966 ,MSE 90.6337,
43,,0.8776,71.4001,2 -84.2491 ,MSE 81.5507,
44,,0.8571,31.7392,2 -22.5070 ,MSE 42.8232,
45,,0.8609,25.1057,2 -13.8088 ,MSE 33.9891,
46,,0.863,24.909,2 -13.0329 ,MSE 33.0868,
47,,0.8738,24.0016,2 -17.8902 ,MSE 38.3879,
48,,0.8546,27.2906,2 -22.1556 ,MSE 42.5013,
49,,0.8835,71.7272,2 -131.9160 ,MSE 101.8288,
50,,0.8513,14.8635,2 -5.2948 ,MSE 22.1588,
,,,,,,
,,,,,,
,,,e=4,,,
