metric,value
classification_precision,0.5448165704947956
classification_recall,0.7535795206067921
classification_f1,0.6315739044152572
classification_accuracy,0.7891300383001718
classification_precision_arrival,0.6079969143738099
classification_recall_arrival,0.785428575382931
classification_f1_arrival,0.6854161207430268
classification_accuracy_arrival,0.8099908809045847
classification_precision_departure,0.48163622661578137
classification_recall_departure,0.7217304658306533
classification_f1_departure,0.5777316880874875
classification_accuracy_departure,0.7682691956957589
regression_mae_delayed,7.452186630617746
regression_rmse_delayed,9.860102294886202
regression_mae_nondelayed,3.327233669492527
regression_rmse_nondelayed,5.122062532105695
regression_mae_overall,4.3237976289096585
regression_rmse_overall,6.586754885919071
regression_mae_delayed_arrival,6.945233909597541
regression_rmse_delayed_arrival,9.293098281384289
num_delayed_samples_arrival,72251
regression_mae_delayed_departure,8.060470962535554
regression_rmse_delayed_departure,10.500108795344229
num_delayed_samples_departure,60215
regression_mae_nondelayed_arrival,2.9968469687752735
regression_rmse_nondelayed_arrival,4.790703470146196
num_nondelayed_samples_arrival,201899
regression_mae_nondelayed_departure,3.639032788328214
regression_rmse_nondelayed_departure,5.416217572987155
num_nondelayed_samples_departure,213935
regression_mae_overall_arrival,4.037426596210436
regression_rmse_overall_arrival,6.2978155316639794
regression_mae_overall_departure,4.610168661608881
regression_rmse_overall_departure,6.863541315056641
num_delayed_samples,132466
num_nondelayed_samples,415834
target_epsilon,7.5
final_epsilon,7.498545930863738
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,1924.8617341518402
stage2_time_seconds,640.6178455352783
stage3_time_seconds,995.2161376476288
total_training_time_seconds,3560.6957173347473
total_training_time_minutes,59.34492862224579
train_samples,19216
val_samples,2736
test_samples,5483
