delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,250.0886209011078,4.481489957512571,1,0.29084101708073523,,,,0.7748079034027973,0.4558180738538893,,,,,0.3859959669328842,0.5564788836763646
1e-05,2,272.9041931629181,4.784802484183612,1,0.26834837263580325,,,,0.7829930479326174,0.4580358064707811,,,,,0.3977776171705999,0.5400911430293703
1e-05,3,278.01403999328613,5.012328938458727,1,0.2706783224569806,,,,0.780230515916518,0.46139655966094584,,,,,0.3950834496321236,0.5546703468564659
1e-05,4,278.2776188850403,5.177694312530788,1,0.26287024211557924,,,,0.7748701061104445,0.4694695760635187,,,,,0.3925063404028865,0.585950405908796
1e-05,5,279.86494159698486,5.333588445034971,1,0.25965510160822936,,,,0.759271862422191,0.4716813592620255,,,,,0.37587638470195556,0.6333546533540795
1e-05,6,280.46287274360657,5.484523105215887,1,0.2583834759975417,,,,0.7834760336625843,0.44290658310682485,,,,,0.3932924421805609,0.512329732778706
1e-05,7,283.69981813430786,5.598328376078053,1,0.25443248706686744,,,,0.7491291620928833,0.46959498348810924,,,,,0.36720108778966465,0.6532506948797981
1e-05,8,279.33934712409973,5.7121336469402175,1,0.2505953295956764,,,,0.776963044273635,0.4647143039592536,,,,,0.3930672390229946,0.5695126153876687
1e-05,9,282.93944358825684,5.825938917802383,1,0.24921748757680046,,,,0.747881448957135,0.4761894592171636,,,,,0.36831240217144756,0.6744114566920222
1e-05,10,285.414901971817,5.939744188664548,1,0.2506863255170407,,,,0.7687230150017732,0.47434919915709617,,,,,0.38720008302189635,0.6138597402925257
1e-05,1,110.06835556030273,6.041432571490394,2,0.17525078647042178,0.23305681029847222,,,,,0.1580259513429792,0.17089279180387854,,,,
1e-05,2,112.57556486129761,6.129180665959868,2,0.17305263940450907,0.23309222460765225,,,,,0.15384754224361857,0.17089279180387854,,,,
1e-05,3,111.91281080245972,6.216928760429343,2,0.17065026819467705,0.23250002604627903,,,,,0.14970450427391413,0.17089279180387854,,,,
1e-05,4,111.66109538078308,6.304676854898817,2,0.16932294319305,0.23305279751443111,,,,,0.15657638690689135,0.17089279180387854,,,,
1e-05,5,108.61453318595886,6.392424949368292,2,0.1690130524213198,0.23262144401929796,,,,,0.15859502840299336,0.17089279180387854,,,,
1e-05,6,107.54800629615784,6.480173043837766,2,0.1686649076268325,0.23276726081061974,,,,,0.1515853603740199,0.17089279180387854,,,,
1e-05,7,108.30520176887512,6.5679211383072404,2,0.16900139682138865,0.2326392575981877,,,,,0.15357243317599698,0.17089279180387854,,,,
1e-05,8,106.94664144515991,6.655669232776714,2,0.1683570614363812,0.23314765114634045,,,,,0.15305991551969292,0.17089279180387854,,,,
1e-05,1,104.66081881523132,6.726671787951013,3,0.051366187911666805,,1087288.0,0.5650045624894772,,,6.662275601024931,,155998.0,0.5707939992682034,,
1e-05,2,100.69912648200989,6.797432083992681,3,0.015385539133069438,,1086451.0,0.5646300609817575,,,5.680688343467784,,155998.0,0.5707939992682034,,
1e-05,3,104.40292310714722,6.8681923800343485,3,0.011637287182071998,,1084542.0,0.5640612501547273,,,5.337865506637185,,155998.0,0.5707939992682034,,
1e-05,4,100.60719966888428,6.938952676076016,3,0.010215419001485171,,1082593.0,0.5644838010976898,,,5.20937596515435,,155998.0,0.5707939992682034,,
1e-05,5,101.43660426139832,7.009712972117684,3,0.009412870432922169,,1084134.0,0.5638625427265521,,,5.108686361015401,,155998.0,0.5707939992682034,,
1e-05,6,99.88357186317444,7.08047326815935,3,0.008931584496499051,,1085342.0,0.5646100528225249,,,5.083623225504205,,155998.0,0.5707939992682034,,
1e-05,7,102.97754716873169,7.151233564201018,3,0.008579893238181069,,1082187.0,0.5638781233293698,,,5.068618005329974,,155998.0,0.5707939992682034,,
1e-05,8,100.11771655082703,7.221993860242685,3,0.008356497933632688,,1082500.0,0.5637339654791713,,,5.021636611750622,,155998.0,0.5707939992682034,,
1e-05,9,100.94009017944336,7.292754156284353,3,0.00819484892454517,,1083837.0,0.564164640087948,,,4.995785231489256,,155998.0,0.5707939992682034,,
1e-05,10,99.97474598884583,7.36351445232602,3,0.00812805390018327,,1086437.0,0.5650432973605513,,,5.000239112466741,,155998.0,0.5707939992682034,,
1e-05,11,101.89208173751831,7.434274748367687,3,0.007943051347482967,,1086175.0,0.5656401379397977,,,4.987024772793668,,155998.0,0.5707939992682034,,
1e-05,12,101.52639985084534,7.49885553198927,3,0.007885616923962223,,1085295.0,0.5649288591330673,,,4.989073105456399,,155998.0,0.5707939992682034,,
