metric,value
classification_precision,0.47355597896919993
classification_recall,0.7575552982434626
classification_f1,0.5827256143265327
classification_accuracy,0.7392372262773452
classification_precision_arrival,0.500132663529867
classification_recall_arrival,0.7826851211071582
classification_f1_arrival,0.6102914941794672
classification_accuracy_arrival,0.7364233576642066
classification_precision_departure,0.4469792944085329
classification_recall_departure,0.7324254753797671
classification_f1_departure,0.5551597344735981
classification_accuracy_departure,0.7420510948904838
regression_mae_delayed,7.834219518320683
regression_rmse_delayed,10.277309621948856
regression_mae_nondelayed,4.249549013680038
regression_rmse_nondelayed,5.984796702470541
regression_mae_overall,5.116051529003438
regression_rmse_overall,7.258886957331747
regression_mae_delayed_arrival,7.706268130913751
regression_rmse_delayed_arrival,10.171111224519688
num_delayed_samples_arrival,72250
regression_mae_delayed_departure,7.987744183938069
regression_rmse_delayed_departure,10.403302936211551
num_delayed_samples_departure,60215
regression_mae_nondelayed_arrival,4.003906746627689
regression_rmse_nondelayed_arrival,5.656011528580011
num_nondelayed_samples_arrival,201750
regression_mae_nondelayed_departure,4.48136287984376
regression_rmse_nondelayed_departure,6.279303937089057
num_nondelayed_samples_departure,213785
regression_mae_overall_arrival,4.980168097046185
regression_rmse_overall_arrival,7.129779157671316
regression_mae_overall_departure,5.25193496096069
regression_rmse_overall_departure,7.3857382082956065
num_delayed_samples,132465
num_nondelayed_samples,415535
target_epsilon,7.5
final_epsilon,7.49885553198927
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,2771.2635748386383
stage2_time_seconds,877.8577470779419
stage3_time_seconds,1219.4120588302612
total_training_time_seconds,4868.533380746841
total_training_time_minutes,81.14222301244736
train_samples,19213
val_samples,2733
test_samples,5480
