delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,272.8001663684845,4.481790920135179,1,0.29479869714111556,,,,0.7374477447744233,0.424984055920829,,,,,0.33946713204377515,0.5699499875677585
1e-05,2,274.6881823539734,4.785157938637296,1,0.27221524480246634,,,,0.7115071507150192,0.42952676978583426,,,,,0.3247203378849883,0.6391442826882484
1e-05,3,277.979612827301,5.0128621201392525,1,0.26434986344959477,,,,0.7532526585991379,0.4172780761615241,,,,,0.3494887948158002,0.518411867859401
1e-05,4,279.63722944259644,5.178141848218731,1,0.2614866083374153,,,,0.7261459479280729,0.43572650696644233,,,,,0.3367777753253114,0.6224955457108967
1e-05,5,280.06889367103577,5.3341478646449,1,0.25954383670870573,,,,0.6956655665566046,0.44317926781196737,,,,,0.32225844723550945,0.7115236147582968
1e-05,6,281.545804977417,5.484972720688984,1,0.25693469845757616,,,,0.7518261826182067,0.41962717783412473,,,,,0.3490188303821463,0.5264985710496427
1e-05,7,281.48148107528687,5.598852927463332,1,0.2584217552009248,,,,0.7615511551154557,0.4157993054195566,,,,,0.35752305890944075,0.49840406963003325
1e-05,8,280.2354247570038,5.71273313423768,1,0.2525169421945753,,,,0.7368756875687028,0.43131676132018,,,,,0.3425930279019621,0.5877816269514601
1e-05,9,283.67765498161316,5.826613341012028,1,0.2547054455077543,,,,0.7287898789878453,0.4278454532652221,,,,,0.3342481719771717,0.5952912356646549
1e-05,10,281.24988055229187,5.940493547786376,1,0.25372286814867545,,,,0.7337660432709399,0.4359313586156403,,,,,0.3413394350823738,0.6037475416020814
1e-05,1,113.13147735595703,6.042017396490031,2,0.1843792218928479,0.23270636351596694,,,,,0.15356666137630667,0.17103043637697102,,,,
1e-05,2,111.95412492752075,6.129818656868563,2,0.1819141587285686,0.23270680288521536,,,,,0.15337277617577771,0.17103043637697102,,,,
1e-05,3,111.94834065437317,6.217619917247095,2,0.17960309838889535,0.23287512110762693,,,,,0.1536060566971192,0.17103043637697102,,,,
1e-05,4,108.67133831977844,6.305421177625627,2,0.17892020786644394,0.23311044548784762,,,,,0.15418862870756062,0.17103043637697102,,,,
1e-05,5,107.44190287590027,6.39322243800416,2,0.17860023704263345,0.23313941319982798,,,,,0.15399000187178175,0.17103043637697102,,,,
1e-05,6,108.94776010513306,6.481023698382692,2,0.17840060259490387,0.23298173232156788,,,,,0.15294224419398997,0.17103043637697102,,,,
1e-05,7,106.57984757423401,6.5688249587612235,2,0.17896222592917674,0.2334278798210633,,,,,0.16258236622286254,0.17103043637697102,,,,
1e-05,8,106.19617342948914,6.656626185588487,2,0.17892077142410964,0.2338246133470006,,,,,0.15722846530264725,0.17103043637697102,,,,
1e-05,1,100.78645873069763,6.727426186834551,3,0.0560880851891151,,1086602.0,0.5646351754699569,,,8.721046178582462,,155724.0,0.5710451045104511,,
1e-05,2,103.38787364959717,6.798226188080615,3,0.016115358597279923,,1085011.0,0.5641162286014947,,,6.94994737635634,,155724.0,0.5710451045104511,,
1e-05,3,101.13190960884094,6.8690261893266795,3,0.012300524402283663,,1082925.0,0.5636459121650811,,,6.226236923075303,,155724.0,0.5710451045104511,,
1e-05,4,101.6103105545044,6.939826190572743,3,0.010729280947410892,,1082257.0,0.5640874221697302,,,5.916237546260317,,155724.0,0.5710451045104511,,
1e-05,5,100.19476056098938,7.010626191818807,3,0.00988172210142924,,1083568.0,0.563999371233517,,,5.7607101908348515,,155724.0,0.5710451045104511,,
1e-05,6,101.65830183029175,7.081426193064871,3,0.009338896174564307,,1081977.0,0.5637716394952834,,,5.636098395970145,,155724.0,0.5710451045104511,,
1e-05,7,100.84520053863525,7.152226194310935,3,0.00897466538453356,,1083200.0,0.5636265245806102,,,5.53164681549032,,155724.0,0.5710451045104511,,
1e-05,8,100.35876560211182,7.223026195557,3,0.008701493552747158,,1082245.0,0.5639447813567253,,,5.509670315593425,,155724.0,0.5710451045104511,,
1e-05,9,100.47311544418335,7.293826196803064,3,0.008496707568557894,,1085271.0,0.5642719433976391,,,5.461813837457553,,155724.0,0.5710451045104511,,
1e-05,10,101.72214531898499,7.364626198049128,3,0.008377295280945761,,1083510.0,0.5640942609209931,,,5.437214907573267,,155724.0,0.5710451045104511,,
1e-05,11,101.19983959197998,7.435426199295192,3,0.008335548262969672,,1083335.0,0.5641500060407354,,,5.405962368309162,,155724.0,0.5710451045104511,,
1e-05,12,86.221675157547,7.499784931809295,3,0.008203024740300584,,1087842.0,0.5647870578523553,,,5.41655204304639,,155724.0,0.5710451045104511,,
