metric,value
classification_precision,0.437783689429902
classification_recall,0.7461220878487715
classification_f1,0.5517013015628756
classification_accuracy,0.7070643039824367
classification_precision_arrival,0.4425942009620154
classification_recall_arrival,0.7335667917005919
classification_f1_arrival,0.5520883744487284
classification_accuracy_arrival,0.6858056265984404
classification_precision_departure,0.43297317789778855
classification_recall_departure,0.7586773839969512
classification_f1_departure,0.5513142286770228
classification_accuracy_departure,0.728322981366433
regression_mae_delayed,8.326045210213806
regression_rmse_delayed,10.764918098116867
regression_mae_nondelayed,4.95709243668746
regression_rmse_nondelayed,6.367524147417877
regression_mae_overall,5.772318694148317
regression_rmse_overall,7.666539942746191
regression_mae_delayed_arrival,8.291183530345167
regression_rmse_delayed_arrival,10.754137990033666
num_delayed_samples_arrival,72247
regression_mae_delayed_departure,8.367873552218484
regression_rmse_delayed_departure,10.777838243576443
num_delayed_samples_departure,60214
regression_mae_nondelayed_arrival,5.382764723685526
regression_rmse_nondelayed_arrival,6.533641495693466
num_nondelayed_samples_arrival,201453
regression_mae_nondelayed_departure,4.555412892208564
regression_rmse_nondelayed_departure,6.206694063870794
num_nondelayed_samples_departure,213486
regression_mae_overall_arrival,6.150483150885889
regression_rmse_overall_arrival,7.870711153667779
regression_mae_overall_departure,5.3941542374107465
regression_rmse_overall_departure,7.456780493146834
num_delayed_samples,132461
num_nondelayed_samples,414939
target_epsilon,7.5
final_epsilon,7.499784931809295
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,1e-05
stage1_time_seconds,2793.644572496414
stage2_time_seconds,875.09521484375
stage3_time_seconds,1199.8729026317596
total_training_time_seconds,4868.612689971924
total_training_time_minutes,81.1435448328654
train_samples,19207
val_samples,2727
test_samples,5474
