delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,183.3550889492035,4.477713463969709,1,0.3041938603258222,,,,0.785926335174896,0.33960443276941643,,,,,0.36083906302599444,0.3212478516616235
1e-05,2,183.29334712028503,4.780565794363692,1,0.2821932734012858,,,,0.7864825046039936,0.35560421195613073,,,,,0.3689319561132998,0.34357795379014444
1e-05,3,183.45319604873657,5.005973903728847,1,0.2788412421285931,,,,0.7619852670349345,0.3818254857510338,,,,,0.34651054870403386,0.4259990096041888
1e-05,4,183.29688429832458,5.172649768087832,1,0.27565999371023236,,,,0.7449760589318051,0.3984135866791908,,,,,0.3434780245625204,0.48778203870627596
1e-05,5,183.43370127677917,5.327282764481277,1,0.2731641366159671,,,,0.7718011049723188,0.3846123761694723,,,,,0.3642404686943922,0.4112644853560109
1e-05,6,184.38940167427063,5.479744557235913,1,0.26657555649386433,,,,0.742386740331437,0.41293066506767334,,,,,0.34752059577582595,0.5215282289950104
1e-05,7,183.06684374809265,5.592753403434749,1,0.26647524565068775,,,,0.7667403314916561,0.4030809713364296,,,,,0.36629359317269344,0.45503291306221616
1e-05,8,183.7071750164032,5.705762249633585,1,0.2689316727540976,,,,0.7652928176795015,0.40083631593698654,,,,,0.35947587362322214,0.45395026795920634
1e-05,9,184.32288336753845,5.818771095832422,1,0.2610596451291277,,,,0.7537532228360402,0.406780580381289,,,,,0.35451287447242397,0.48437689422934316
1e-05,10,183.52458381652832,5.931779942031258,1,0.26234795328624155,,,,0.7544125230202021,0.40675460696418786,,,,,0.35533673092007745,0.4841765131212026
1e-05,1,77.75827598571777,6.035576765310505,2,0.18163593852220297,0.23363492575519507,,,,,0.15185647586032067,0.17174217311233886,,,,
1e-05,2,77.27828121185303,6.122792513763625,2,0.18100224352655617,0.23275645888156696,,,,,0.15102507547027538,0.17174217311233886,,,,
1e-05,3,77.12040424346924,6.210008262216745,2,0.17835357311042857,0.23373455053252465,,,,,0.15467036208581147,0.17174217311233886,,,,
1e-05,4,77.08295702934265,6.297224010669866,2,0.17796057088871453,0.23346492370189054,,,,,0.1536591970730577,0.17174217311233886,,,,
1e-05,5,77.10606217384338,6.384439759122987,2,0.17678550521602915,0.2336065701734027,,,,,0.15784824805017222,0.17174217311233886,,,,
1e-05,6,77.19820952415466,6.4716555075761075,2,0.1765472892146169,0.2334797565328208,,,,,0.15385343958809,0.17174217311233886,,,,
1e-05,7,77.22911715507507,6.558871256029228,2,0.17665721431660728,0.23373769622346205,,,,,0.15569209269786466,0.17174217311233886,,,,
1e-05,1,77.6075267791748,6.646087004482349,3,0.035964502377654674,,1083115.0,0.5636908200492331,,,6.1266135250645695,,154617.0,0.5694917127071824,,
1e-05,2,77.8035581111908,6.719544141844014,3,0.010971116549011234,,1084411.0,0.5641644738142729,,,5.497909760581896,,154617.0,0.5694917127071824,,
1e-05,3,78.07421946525574,6.789929298616891,3,0.00950844513037371,,1082650.0,0.5643881576752411,,,5.303725502788178,,154617.0,0.5694917127071824,,
1e-05,4,77.74074006080627,6.860314455389769,3,0.008806957754401639,,1081970.0,0.5642142655259696,,,5.200606206444274,,154617.0,0.5694917127071824,,
1e-05,5,77.64467597007751,6.930699612162647,3,0.008400292421984751,,1083064.0,0.5638884868376524,,,5.105673484188222,,154617.0,0.5694917127071824,,
1e-05,6,78.06483030319214,7.001084768935525,3,0.008169457552551867,,1080678.0,0.563803956881449,,,5.091409503079382,,154617.0,0.5694917127071824,,
1e-05,7,77.98997402191162,7.071469925708403,3,0.007956095602109713,,1085483.0,0.5642994311689473,,,5.056078780747943,,154617.0,0.5694917127071824,,
1e-05,8,77.63186597824097,7.141855082481281,3,0.007839057176044993,,1082736.0,0.5637682019688274,,,5.020613956055363,,154617.0,0.5694917127071824,,
1e-05,9,78.1465494632721,7.212240239254159,3,0.007723338076811027,,1082405.0,0.5637032801296553,,,4.9986327334353655,,154617.0,0.5694917127071824,,
1e-05,10,78.1227068901062,7.282625396027036,3,0.007662008373835888,,1084390.0,0.5644965658260914,,,5.005108412014606,,154617.0,0.5694917127071824,,
1e-05,11,77.88852143287659,7.353010552799915,3,0.007592433524344993,,1081434.0,0.5636837298906653,,,4.982757894682165,,154617.0,0.5694917127071824,,
1e-05,12,77.95762276649475,7.423395709572793,3,0.007543024986058972,,1081757.0,0.5633869348199256,,,4.973968748347334,,154617.0,0.5694917127071824,,
